label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

34T1|1|1|1|0|3|3|3|0
34T2|1|1|1|0|2|2|2|0
34T3|1|1|1|0|5|5|5|0
34T4|1|1|1|0|3|3|3|0
34T5|1|1|1|0|7|7|7|0
34T6|1|1|1|0|4|4|4|0
34T7|1|1|1|0|9|9|9|0
34T8|1|1|1|0|5|16|16|1
34T9|1|1|1|0|11|33|33|1
34T10|1|2|2|1|12|18|18|1
34T11|2|3|3|1|15|19|19|1
34T12|2|3|\N|\N|12|19|19|1
34T13|2|3|3|1|12|14|14|1
34T14|2|3|\N|\N|10|12|12|1
34T15|1|1|1|0|12|14|14|1
34T16|2|3|3|1|17|20|20|1
34T17|2|3|\N|\N|13|20|20|1
34T18|4|4|4|0|16|16|16|0
34T19|2|3|3|1|11|11|11|0
34T20|2|3|\N|\N|9|9|9|0
34T21|2|3|3|1|19|21|21|1
34T22|2|16|16|1|14|152|152|1
34T23|2|3|3|1|10|11|\N|\N
34T24|1|1|1|0|17|17|17|0
34T25|1|1|1|0|13|16|\N|\N
34T26|2|3|3|1|13|16|\N|\N
34T27|1|1|1|0|11|11|11|0
34T28|1|1|1|0|9|9|9|0
34T29|2|2|2|0|33|33|33|0
34T30|4|4|4|0|32|32|32|0
34T31|4|4|4|0|32|32|32|0
34T32|2|3|3|1|11|11|11|0
34T33|2|3|\N|\N|9|10|9|2
34T34|2|9|\N|\N|15|54|\N|\N
34T35|1|1|1|0|21|21|21|0
34T36|1|1|1|0|15|54|\N|\N
34T37|2|3|3|1|10|11|\N|\N
34T38|1|1|1|0|17|17|17|0
34T39|1|1|1|0|13|14|\N|\N
34T40|1|1|1|0|16|16|16|0
34T41|2|16|16|1|21|169|169|1
34T42|2|2|2|0|14|14|14|0
34T43|1|1|1|0|19|19|19|0
34T44|1|1|1|0|12|12|12|0
34T45|2|2|2|0|65|65|65|0
34T46|2|2|2|0|24|24|24|0
34T47|2|2|2|0|24|24|24|0
34T48|1|1|1|0|18|18|18|0
34T49|1|1|1|0|14|17|14|2
34T50|1|1|1|0|17|37|\N|\N
34T51|1|1|1|0|24|24|24|0
34T52|1|1|1|0|18|29|\N|\N
34T53|1|1|1|0|15|17|\N|\N
34T54|1|1|1|0|25|64|\N|\N
34T55|1|1|1|0|16|16|16|0
34T56|1|1|1|0|25|25|25|0
34T57|2|2|2|0|49|49|49|0
34T58|1|1|1|0|17|17|17|0
34T59|1|1|1|0|17|17|17|0
34T60|1|1|1|0|26|27|27|1
34T61|1|1|1|0|\N|\N|\N|\N
34T62|1|1|1|0|\N|\N|\N|\N
34T63|1|1|1|0|\N|\N|\N|\N
34T64|1|1|1|0|\N|\N|\N|\N
34T65|1|1|1|0|\N|\N|\N|\N
34T66|1|1|1|0|\N|\N|\N|\N
34T67|1|1|1|0|\N|\N|\N|\N
34T68|1|1|1|0|\N|\N|\N|\N
34T69|8|8|8|0|\N|\N|\N|\N
34T70|1|1|1|0|\N|\N|\N|\N
34T71|8|8|8|0|\N|\N|\N|\N
34T72|8|8|8|0|\N|\N|\N|\N
34T73|1|1|1|0|\N|\N|\N|\N
34T74|4|4|4|0|\N|\N|\N|\N
34T75|4|4|4|0|\N|\N|\N|\N
34T76|1|1|1|0|\N|\N|\N|\N
34T77|2|2|2|0|\N|\N|\N|\N
34T78|2|2|2|0|\N|\N|\N|\N
34T79|1|1|1|0|\N|\N|\N|\N
34T80|1|1|1|0|\N|\N|\N|\N
34T81|1|1|1|0|\N|\N|\N|\N
34T82|1|1|1|0|\N|\N|\N|\N
34T83|1|1|1|0|\N|\N|\N|\N
34T84|1|1|1|0|\N|\N|\N|\N
34T85|1|1|1|0|\N|\N|\N|\N
34T86|1|1|1|0|\N|\N|\N|\N
34T87|1|1|1|0|\N|\N|\N|\N
34T88|1|1|1|0|\N|\N|\N|\N
34T89|1|1|1|0|\N|\N|\N|\N
34T90|1|1|1|0|\N|\N|\N|\N
34T91|1|1|1|0|\N|\N|\N|\N
34T92|1|1|1|0|\N|\N|\N|\N
34T93|1|1|1|0|\N|\N|\N|\N
34T94|1|1|1|0|\N|\N|\N|\N
34T95|1|1|1|0|\N|\N|\N|\N
34T96|1|1|1|0|\N|\N|\N|\N
34T97|1|1|1|0|\N|\N|\N|\N
34T98|1|1|1|0|\N|\N|\N|\N
34T99|1|1|1|0|\N|\N|\N|\N
34T100|1|1|1|0|\N|\N|\N|\N
34T101|1|1|1|0|\N|\N|\N|\N
34T102|2|2|2|0|\N|\N|\N|\N
34T103|2|2|2|0|\N|\N|\N|\N
34T104|1|1|1|0|\N|\N|\N|\N
34T105|1|1|1|0|\N|\N|\N|\N
34T106|1|1|1|0|\N|\N|\N|\N
34T107|2|2|2|0|\N|\N|\N|\N
34T108|1|1|1|0|\N|\N|\N|\N
34T109|1|1|1|0|\N|\N|\N|\N
34T110|2|2|2|0|\N|\N|\N|\N
34T111|3|3|3|0|\N|\N|\N|\N
34T112|3|3|3|0|\N|\N|\N|\N
34T113|1|1|1|0|\N|\N|\N|\N
34T114|2|2|2|0|\N|\N|\N|\N
34T115|1|1|1|0|\N|\N|\N|\N
