label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

21T1|1|1|1|0|3|3|3|0
21T2|1|1|1|0|2|3|3|1
21T3|1|1|1|0|5|5|5|0
21T4|1|1|1|0|4|6|6|1
21T5|1|1|1|0|4|5|5|1
21T6|1|1|1|0|5|5|5|0
21T7|1|1|1|0|6|7|7|1
21T8|1|1|1|0|8|8|8|0
21T9|1|1|1|0|11|13|13|1
21T10|1|1|1|0|7|13|13|1
21T11|1|1|1|0|8|11|11|1
21T12|1|3|3|1|5|10|10|1
21T13|1|3|3|1|6|10|10|1
21T14|1|1|1|0|4|4|4|0
21T15|1|1|1|0|14|20|20|1
21T16|1|1|1|0|8|20|20|1
21T17|1|1|1|0|6|6|6|0
21T18|1|1|1|0|6|6|6|0
21T19|1|1|1|0|7|20|20|1
21T20|1|1|1|0|7|7|7|0
21T21|2|3|3|1|10|14|14|1
21T22|1|1|1|0|9|9|9|0
21T23|1|1|1|0|10|10|10|0
21T24|1|1|1|0|15|27|27|1
21T25|1|1|1|0|10|12|12|1
21T26|1|1|1|0|10|12|12|1
21T27|1|1|1|0|14|14|14|0
21T28|1|3|3|1|23|59|59|1
21T29|1|1|1|0|17|19|19|1
21T30|1|2|2|1|19|32|32|1
21T31|1|6|6|1|25|118|118|1
21T32|1|1|1|0|26|26|26|0
21T33|1|1|1|0|7|7|7|0
21T34|1|3|3|1|28|63|63|1
21T35|1|1|1|0|21|21|21|0
21T36|2|4|4|1|13|27|27|1
21T37|1|2|2|1|30|49|49|1
21T38|1|1|1|0|14|14|14|0
21T39|3|3|3|0|53|53|53|0
21T40|1|3|3|1|30|72|72|1
21T41|1|6|6|1|23|90|90|1
21T42|1|2|2|1|24|40|40|1
21T43|1|6|6|1|33|125|125|1
21T44|2|2|2|0|15|15|15|0
21T45|1|1|1|0|21|44|44|1
21T46|2|2|2|0|18|18|18|0
21T47|2|2|2|0|15|16|16|1
21T48|1|1|1|0|18|18|18|0
21T49|1|1|1|0|13|13|13|0
21T50|3|6|6|1|55|105|105|1
21T51|3|3|3|0|54|66|66|1
21T52|3|6|6|1|54|66|66|1
21T53|2|4|4|1|19|31|31|1
21T54|2|2|2|0|12|12|12|0
21T55|1|6|6|1|37|139|139|1
21T56|1|1|1|0|29|29|29|0
21T57|2|2|2|0|23|23|23|0
21T58|2|2|2|0|22|23|23|1
21T59|1|1|1|0|30|30|30|0
21T60|1|1|1|0|30|30|30|0
21T61|1|1|1|0|159|159|159|0
21T62|1|1|1|0|28|28|28|0
21T63|1|2|2|1|24|31|31|1
21T64|1|2|2|1|21|30|30|1
21T65|1|1|1|0|28|28|28|0
21T66|1|2|2|1|19|21|21|1
21T67|1|1|1|0|7|7|7|0
21T68|3|6|6|1|70|93|93|1
21T69|2|4|4|1|24|44|44|1
21T70|1|1|1|0|31|49|49|1
21T71|1|1|1|0|22|22|22|0
21T72|2|4|4|1|21|40|40|1
21T73|1|1|1|0|20|20|20|0
21T74|1|1|1|0|44|44|44|0
21T75|1|2|2|1|121|200|200|1
21T76|1|1|1|0|148|172|172|1
21T77|1|2|2|1|31|35|35|1
21T78|1|1|1|0|31|35|35|1
21T79|1|2|2|1|29|50|50|1
21T80|1|2|2|1|161|317|317|1
21T81|1|2|2|1|31|35|35|1
21T82|1|2|2|1|37|48|48|1
21T83|2|2|2|0|16|16|16|0
21T84|2|2|2|0|21|21|21|0
21T85|1|1|1|0|11|11|11|0
21T86|1|1|1|0|90|90|90|0
21T87|1|1|1|0|39|69|69|1
21T88|1|1|1|0|25|27|27|1
21T89|1|1|1|0|29|32|32|1
21T90|1|1|1|0|29|29|29|0
21T91|1|1|1|0|10|10|10|0
21T92|1|2|2|1|39|46|46|1
21T93|1|2|2|1|164|281|281|1
21T94|1|1|1|0|37|37|37|0
21T95|2|2|2|0|26|31|31|1
21T96|1|1|1|0|32|32|32|0
21T97|2|2|2|0|29|31|31|1
21T98|1|1|1|0|87|95|95|1
21T99|1|2|2|1|67|107|107|1
21T100|1|2|2|1|80|152|152|1
21T101|1|1|1|0|36|36|36|0
21T102|1|1|1|0|44|44|44|0
21T103|1|1|1|0|15|15|15|0
21T104|1|1|1|0|42|42|42|0
21T105|1|1|1|0|37|37|37|0
21T106|1|1|1|0|48|51|51|1
21T107|1|2|2|1|86|140|140|1
21T108|1|1|1|0|43|43|43|0
21T109|1|1|1|0|71|71|71|0
21T110|1|1|1|0|44|44|44|0
21T111|1|1|1|0|52|74|74|1
21T112|1|1|1|0|56|56|56|0
21T113|1|1|1|0|49|49|49|0
21T114|1|1|1|0|39|39|39|0
21T115|1|1|1|0|117|117|117|0
21T116|1|1|1|0|83|83|83|0
21T117|1|1|1|0|50|50|50|0
21T118|1|2|2|1|127|224|224|1
21T119|1|1|1|0|63|63|63|0
21T120|4|4|4|0|159|159|159|0
21T121|1|1|1|0|47|47|47|0
21T122|4|4|4|0|148|148|148|0
21T123|1|1|1|0|317|317|317|0
21T124|4|4|4|0|147|147|147|0
21T125|1|1|1|0|77|77|77|0
21T126|1|1|1|0|48|48|48|0
21T127|2|2|2|0|78|78|78|0
21T128|1|1|1|0|62|77|77|1
21T129|1|1|1|0|62|74|74|1
21T130|1|1|1|0|86|86|86|0
21T131|1|1|1|0|281|281|281|0
21T132|1|1|1|0|125|125|125|0
21T133|2|2|2|0|78|78|78|0
21T134|2|2|2|0|73|73|73|0
21T135|1|1|1|0|76|76|76|0
21T136|1|1|1|0|116|116|116|0
21T137|1|1|1|0|152|152|152|0
21T138|1|1|1|0|117|142|142|1
21T139|1|1|1|0|229|229|229|0
21T140|1|2|2|1|140|233|233|1
21T141|1|2|2|1|137|224|224|1
21T142|1|1|1|0|140|140|140|0
21T143|1|1|1|0|54|54|54|0
21T144|1|2|2|1|260|428|428|1
21T145|2|2|2|0|117|117|117|0
21T146|1|1|1|0|70|70|70|0
21T147|1|1|1|0|224|224|224|0
21T148|2|2|2|0|126|126|126|0
21T149|2|2|2|0|229|229|229|0
21T150|2|2|2|0|219|219|219|0
21T151|1|1|1|0|233|233|233|0
21T152|1|1|1|0|428|428|428|0
21T153|2|2|2|0|191|191|191|0
21T154|2|2|2|0|317|317|317|0
21T155|2|2|2|0|191|191|191|0
21T156|2|2|2|0|200|200|200|0
21T157|2|2|2|0|347|347|347|0
21T158|3|3|3|0|575|575|575|0
21T159|1|1|1|0|1149|1149|1149|0
21T160|3|3|3|0|464|464|464|0
21T161|3|3|3|0|463|463|463|0
21T162|1|1|1|0|919|919|919|0
21T163|2|2|2|0|399|399|399|0
21T164|1|1|1|0|791|791|791|0
