label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

28T1|1|1|1|0|5|5|5|0
28T2|3|3|3|0|7|7|7|0
28T3|1|1|1|0|4|5|4|2
28T4|3|3|3|0|5|5|5|0
28T5|1|1|1|0|9|9|9|0
28T6|1|1|1|0|7|8|8|1
28T7|1|1|1|0|7|8|8|1
28T8|1|1|1|0|8|8|8|0
28T9|1|1|1|0|11|11|11|0
28T10|1|1|1|0|7|8|8|1
28T11|1|1|1|0|2|2|2|0
28T12|1|1|1|0|7|13|8|3
28T13|1|1|1|0|8|11|11|1
28T14|3|3|3|0|11|15|15|1
28T15|3|3|3|0|9|13|13|1
28T16|1|1|1|0|4|7|7|1
28T17|2|2|2|0|5|5|5|0
28T18|1|1|1|0|14|14|14|0
28T19|1|1|1|0|5|5|5|0
28T20|1|1|1|0|5|5|5|0
28T21|1|1|1|0|12|20|20|1
28T22|1|1|1|0|14|19|19|1
28T23|1|1|1|0|12|20|20|1
28T24|1|1|1|0|19|27|27|1
28T25|1|1|1|0|12|20|20|1
28T26|1|1|1|0|14|20|20|1
28T27|1|1|1|0|4|4|4|0
28T28|1|1|1|0|7|13|13|1
28T29|1|1|1|0|8|9|9|1
28T30|1|1|1|0|7|8|8|1
28T31|1|1|1|0|9|9|9|0
28T32|1|1|1|0|4|4|4|0
28T33|1|2|1|2|13|19|13|2
28T34|1|2|2|1|15|19|19|1
28T35|1|1|1|0|6|6|6|0
28T36|1|2|2|1|10|12|12|1
28T37|1|1|1|0|8|8|8|0
28T38|3|3|3|0|11|11|11|0
28T39|1|1|1|0|11|11|11|0
28T40|2|2|2|0|9|11|11|1
28T41|1|1|1|0|24|34|34|1
28T42|1|1|1|0|7|7|7|0
28T43|1|1|1|0|9|9|9|0
28T44|1|1|1|0|9|9|9|0
28T45|1|1|1|0|14|14|14|0
28T46|2|2|2|0|7|7|7|0
28T47|1|1|1|0|24|36|36|1
28T48|2|2|2|0|13|13|13|0
28T49|2|2|2|0|13|13|13|0
28T50|1|2|2|1|16|22|22|1
28T51|2|2|2|0|17|22|22|1
28T52|2|2|2|0|21|25|25|1
28T53|1|1|1|0|9|9|9|0
28T54|1|1|1|0|9|9|9|0
28T55|2|2|2|0|9|9|9|0
28T56|1|1|1|0|5|5|5|0
28T57|1|1|1|0|9|9|9|0
28T58|1|1|1|0|6|6|6|0
28T59|1|1|1|0|14|14|14|0
28T60|3|3|3|0|10|10|10|0
28T61|1|1|1|0|6|6|6|0
28T62|1|1|1|0|10|10|10|0
28T63|1|1|1|0|10|10|10|0
28T64|2|2|2|0|10|10|10|0
28T65|3|3|3|0|10|10|10|0
28T66|2|2|2|0|10|10|10|0
28T67|1|1|1|0|16|20|20|1
28T68|1|1|1|0|12|20|20|1
28T69|1|1|1|0|14|19|19|1
28T70|1|1|1|0|4|4|4|0
28T71|1|6|3|3|16|55|35|3
28T72|1|6|6|1|19|55|55|1
28T73|1|2|1|2|11|13|11|2
28T74|1|2|2|1|13|13|13|0
28T75|1|1|1|0|6|7|6|2
28T76|1|3|3|1|9|14|14|1
28T77|1|6|6|1|14|34|34|1
28T78|1|2|2|1|10|10|10|0
28T79|1|1|1|0|14|14|14|0
28T80|1|1|1|0|15|15|15|0
28T81|1|1|1|0|15|15|15|0
28T82|1|1|1|0|12|12|12|0
28T83|1|1|1|0|12|12|12|0
28T84|1|1|1|0|19|19|19|0
28T85|1|1|1|0|19|19|19|0
28T86|1|1|1|0|14|14|14|0
28T87|1|1|1|0|14|14|14|0
28T88|1|1|1|0|19|19|19|0
28T89|1|1|1|0|7|9|9|1
28T90|1|1|1|0|23|23|23|0
28T91|1|1|1|0|31|42|42|1
28T92|1|1|1|0|16|16|16|0
28T93|1|1|1|0|16|16|16|0
28T94|1|1|1|0|19|19|19|0
28T95|1|1|1|0|19|19|19|0
28T96|1|1|1|0|9|9|9|0
28T97|1|1|1|0|9|9|9|0
28T98|1|1|1|0|17|17|17|0
28T99|1|1|1|0|13|13|13|0
28T100|1|1|1|0|9|10|10|1
28T101|1|1|1|0|9|9|9|0
28T102|1|1|1|0|21|21|21|0
28T103|1|1|1|0|9|10|10|1
28T104|5|5|5|0|21|21|21|0
28T105|3|3|3|0|17|17|17|0
28T106|3|3|3|0|17|17|17|0
28T107|1|1|1|0|17|17|17|0
28T108|3|3|3|0|17|17|17|0
28T109|1|1|1|0|17|17|17|0
28T110|1|1|1|0|21|21|21|0
28T111|2|2|2|0|21|21|21|0
28T112|1|1|1|0|21|21|21|0
28T113|1|1|1|0|21|21|21|0
28T114|5|5|5|0|21|21|21|0
28T115|1|1|1|0|21|21|21|0
28T116|1|1|1|0|21|21|21|0
28T117|1|1|1|0|21|21|21|0
28T118|3|3|3|0|21|21|21|0
28T119|1|1|1|0|24|34|34|1
28T120|1|1|1|0|5|5|5|0
28T121|1|1|1|0|29|104|104|1
28T122|1|1|1|0|19|23|23|1
28T123|2|2|2|0|13|15|13|2
28T124|2|2|2|0|13|15|13|2
28T125|2|4|4|1|19|29|29|1
28T126|2|4|4|1|19|29|29|1
28T127|1|6|6|1|21|62|62|1
28T128|2|6|6|1|23|62|62|1
28T129|2|6|6|1|29|69|69|1
28T130|1|2|2|1|15|16|16|1
28T131|2|2|2|0|17|17|17|0
28T132|2|2|2|0|21|21|21|0
28T133|1|1|1|0|11|11|11|0
28T134|1|1|1|0|11|11|11|0
28T135|2|2|2|0|11|11|11|0
28T136|1|1|1|0|14|19|19|1
28T137|1|3|3|1|14|19|19|1
28T138|2|4|4|1|14|19|19|1
28T139|1|1|1|0|7|7|7|0
28T140|1|1|1|0|6|6|6|0
28T141|1|1|1|0|7|7|7|0
28T142|1|1|1|0|9|9|9|0
28T143|1|1|1|0|14|19|19|1
28T144|1|1|1|0|11|11|11|0
28T145|1|1|1|0|24|24|24|0
28T146|1|1|1|0|20|20|20|0
28T147|1|1|1|0|20|20|20|0
28T148|1|1|1|0|24|24|24|0
28T149|1|1|1|0|24|24|24|0
28T150|1|1|1|0|7|7|7|0
28T151|3|3|3|0|10|10|10|0
28T152|1|1|1|0|9|9|9|0
28T153|1|1|1|0|9|9|9|0
28T154|2|2|2|0|10|10|10|0
28T155|1|1|1|0|10|10|10|0
28T156|1|1|1|0|10|10|10|0
28T157|1|1|1|0|10|10|10|0
28T158|2|2|2|0|9|9|9|0
28T159|1|1|1|0|9|9|9|0
28T160|1|1|1|0|6|6|6|0
28T161|2|3|2|2|20|33|20|2
28T162|2|3|2|2|21|31|21|2
28T163|3|5|5|1|27|40|40|1
28T164|3|5|5|1|35|47|47|1
28T165|1|1|1|0|7|7|7|0
28T166|1|1|1|0|30|30|30|0
28T167|1|2|2|1|21|25|25|1
28T168|1|2|1|2|18|25|21|3
28T169|1|2|1|2|12|15|12|2
28T170|1|2|2|1|17|19|19|1
28T171|1|1|1|0|32|32|32|0
28T172|1|1|1|0|27|27|27|0
28T173|1|1|1|0|19|19|19|0
28T174|1|1|1|0|16|16|16|0
28T175|1|1|1|0|35|35|35|0
28T176|1|1|1|0|27|27|27|0
28T177|1|1|1|0|19|21|21|1
28T178|1|1|1|0|19|19|19|0
28T179|3|3|3|0|43|43|43|0
28T180|1|1|1|0|16|16|16|0
28T181|1|1|1|0|24|24|24|0
28T182|1|1|1|0|19|21|21|1
28T183|1|1|1|0|27|27|27|0
28T184|4|4|4|0|27|27|27|0
28T185|1|1|1|0|35|35|35|0
28T186|4|4|4|0|35|35|35|0
28T187|2|2|2|0|43|43|43|0
28T188|2|2|2|0|43|43|43|0
28T189|1|1|1|0|43|43|43|0
28T190|4|4|4|0|43|43|43|0
28T191|1|1|1|0|43|43|43|0
28T192|3|3|3|0|43|43|43|0
28T193|1|1|1|0|35|35|35|0
28T194|1|1|1|0|35|35|35|0
28T195|1|1|1|0|35|35|35|0
28T196|3|3|3|0|35|35|35|0
28T197|3|3|3|0|35|35|35|0
28T198|1|1|1|0|14|14|14|0
28T199|1|1|1|0|11|11|11|0
28T200|1|1|1|0|11|11|11|0
28T201|1|1|1|0|9|9|9|0
28T202|1|1|1|0|21|25|21|2
28T203|1|1|1|0|31|55|55|1
28T204|1|1|1|0|41|118|118|1
28T205|1|1|1|0|29|29|29|0
28T206|1|1|1|0|20|23|20|2
28T207|1|1|1|0|20|23|20|2
28T208|1|1|1|0|23|23|23|0
28T209|1|1|1|0|23|23|23|0
28T210|1|1|1|0|24|34|34|1
28T211|1|1|1|0|24|34|34|1
28T212|1|1|1|0|29|39|39|1
28T213|1|1|1|0|29|39|39|1
28T214|1|1|1|0|15|17|17|1
28T215|1|1|1|0|14|14|14|0
28T216|1|1|1|0|12|12|12|0
28T217|1|1|1|0|15|15|15|0
28T218|1|1|1|0|12|12|12|0
28T219|1|1|1|0|12|12|12|0
28T220|1|1|1|0|12|12|12|0
28T221|1|1|1|0|12|12|12|0
28T222|1|1|1|0|21|21|21|0
28T223|1|1|1|0|12|12|12|0
28T224|1|1|1|0|12|12|12|0
28T225|1|1|1|0|12|12|12|0
28T226|3|3|3|0|21|21|21|0
28T227|1|1|1|0|14|14|14|0
28T228|1|1|1|0|14|14|14|0
28T229|1|1|1|0|19|19|19|0
28T230|1|1|1|0|19|19|19|0
28T231|1|1|1|0|19|19|19|0
28T232|2|2|2|0|19|19|19|0
28T233|1|1|1|0|19|19|19|0
28T234|1|1|1|0|19|19|19|0
28T235|1|1|1|0|21|21|21|0
28T236|1|1|1|0|21|21|21|0
28T237|1|1|1|0|14|14|14|0
28T238|1|1|1|0|8|8|8|0
28T239|1|1|1|0|24|36|36|1
28T240|2|3|3|1|24|36|36|1
28T241|2|3|3|1|21|29|29|1
28T242|1|1|1|0|29|31|31|1
28T243|3|3|3|0|28|36|36|1
28T244|4|5|5|1|46|60|60|1
28T245|1|1|1|0|32|43|43|1
28T246|1|2|1|2|25|31|25|2
28T247|1|2|1|2|25|31|25|2
28T248|1|2|2|1|26|32|32|1
28T249|1|2|1|2|29|33|32|3
28T250|1|2|2|1|35|39|39|1
28T251|1|1|1|0|22|27|27|1
28T252|1|2|2|1|22|27|27|1
28T253|1|2|2|1|22|27|27|1
28T254|1|1|1|0|15|15|15|0
28T255|1|1|1|0|54|54|54|0
28T256|1|1|1|0|46|46|46|0
28T257|1|1|1|0|46|46|46|0
28T258|1|1|1|0|45|45|45|0
28T259|1|1|1|0|53|53|53|0
28T260|1|1|1|0|30|30|30|0
28T261|1|1|1|0|46|46|46|0
28T262|3|3|3|0|18|18|18|0
28T263|3|3|3|0|18|18|18|0
28T264|3|3|3|0|42|42|42|0
28T265|1|1|1|0|30|43|43|1
28T266|2|2|2|0|30|30|30|0
28T267|3|3|3|0|74|74|74|0
28T268|5|5|5|0|74|74|74|0
28T269|3|3|3|0|71|71|71|0
28T270|1|1|1|0|71|71|71|0
28T271|1|1|1|0|46|46|46|0
28T272|1|1|1|0|46|46|46|0
28T273|1|1|1|0|12|12|12|0
28T274|1|1|1|0|24|24|24|0
28T275|1|3|3|1|13|27|27|1
28T276|1|3|3|1|13|27|27|1
28T277|2|9|6|3|23|97|56|3
28T278|2|9|6|3|24|91|59|3
28T279|3|15|15|1|31|118|118|1
28T280|3|15|15|1|39|139|139|1
28T281|1|1|1|0|15|15|15|0
28T282|1|1|1|0|19|19|19|0
28T283|1|1|1|0|36|40|40|1
28T284|1|1|1|0|44|64|64|1
28T285|1|1|1|0|23|23|23|0
28T286|1|1|1|0|32|32|32|0
28T287|1|1|1|0|29|29|29|0
28T288|1|1|1|0|23|23|23|0
28T289|1|1|1|0|25|25|25|0
28T290|1|1|1|0|20|20|20|0
28T291|1|1|1|0|25|25|25|0
28T292|1|1|1|0|25|25|25|0
28T293|1|1|1|0|25|25|25|0
28T294|1|1|1|0|25|25|25|0
28T295|1|1|1|0|20|20|20|0
28T296|1|1|1|0|20|20|20|0
28T297|1|1|1|0|26|26|26|0
28T298|1|1|1|0|25|25|25|0
28T299|3|3|3|0|43|43|43|0
28T300|1|1|1|0|20|20|20|0
28T301|1|1|1|0|20|20|20|0
28T302|1|1|1|0|25|25|25|0
28T303|1|1|1|0|29|29|29|0
28T304|1|1|1|0|29|29|29|0
28T305|1|1|1|0|20|20|20|0
28T306|1|1|1|0|25|25|25|0
28T307|2|2|2|0|23|23|23|0
28T308|2|2|2|0|29|29|29|0
28T309|1|1|1|0|39|39|39|0
28T310|1|1|1|0|39|39|39|0
28T311|1|1|1|0|39|39|39|0
28T312|1|1|1|0|39|39|39|0
28T313|2|2|2|0|43|43|43|0
28T314|1|1|1|0|43|43|43|0
28T315|1|1|1|0|29|29|29|0
28T316|1|1|1|0|29|29|29|0
28T317|1|1|1|0|29|29|29|0
28T318|1|1|1|0|21|21|21|0
28T319|1|1|1|0|21|21|21|0
28T320|2|2|2|0|21|21|21|0
28T321|1|1|1|0|17|17|17|0
28T322|1|1|1|0|39|49|49|1
28T323|1|1|1|0|9|9|9|0
28T324|1|1|1|0|11|13|13|1
28T325|1|1|1|0|41|57|41|2
28T326|1|1|1|0|51|59|59|1
28T327|1|1|1|0|40|55|40|2
28T328|1|1|1|0|40|55|40|2
28T329|1|1|1|0|45|55|55|1
28T330|1|1|1|0|45|55|55|1
28T331|1|1|1|0|89|89|89|0
28T332|1|1|1|0|85|85|85|0
28T333|1|1|1|0|37|37|37|0
28T334|1|1|1|0|37|37|37|0
28T335|7|7|7|0|53|53|53|0
28T336|3|3|3|0|53|74|74|1
28T337|3|3|3|0|53|53|53|0
28T338|3|3|3|0|21|21|21|0
28T339|3|3|3|0|21|21|21|0
28T340|3|3|3|0|21|21|21|0
28T341|3|3|3|0|21|21|21|0
28T342|3|3|3|0|53|74|74|1
28T343|3|3|3|0|149|149|149|0
28T344|1|1|1|0|149|149|149|0
28T345|1|1|1|0|149|149|149|0
28T346|1|1|1|0|14|14|14|0
28T347|1|1|1|0|18|18|18|0
28T348|1|1|1|0|15|16|16|1
28T349|2|4|4|1|21|44|44|1
28T350|2|4|4|1|21|44|44|1
28T351|1|1|1|0|29|104|104|1
28T352|1|1|1|0|34|89|89|1
28T353|2|9|9|1|26|83|83|1
28T354|2|9|9|1|29|104|104|1
28T355|3|9|9|1|34|104|104|1
28T356|4|15|15|1|54|174|174|1
28T357|1|2|1|2|113|215|113|2
28T358|1|2|2|1|130|222|222|1
28T359|1|1|1|0|5|5|5|0
28T360|2|2|2|0|22|22|22|0
28T361|2|2|2|0|31|31|31|0
28T362|2|2|2|0|23|23|23|0
28T363|2|2|2|0|29|29|29|0
28T364|1|1|1|0|40|40|40|0
28T365|1|1|1|0|54|54|54|0
28T366|1|1|1|0|38|38|38|0
28T367|1|1|1|0|44|44|44|0
28T368|1|1|1|0|40|40|40|0
28T369|1|1|1|0|40|40|40|0
28T370|1|1|1|0|36|36|36|0
28T371|1|1|1|0|17|17|17|0
28T372|1|1|1|0|24|24|24|0
28T373|1|1|1|0|35|35|35|0
28T374|1|1|1|0|35|35|35|0
28T375|1|1|1|0|36|43|43|1
28T376|2|2|2|0|36|36|36|0
28T377|1|1|1|0|49|49|49|0
28T378|1|1|1|0|49|49|49|0
28T379|1|1|1|0|35|35|35|0
28T380|1|1|1|0|35|35|35|0
28T381|3|3|3|0|23|23|23|0
28T382|1|1|1|0|16|16|16|0
28T383|1|1|1|0|16|16|16|0
28T384|4|4|4|0|23|23|23|0
28T385|1|1|1|0|38|38|38|0
28T386|1|1|1|0|59|59|59|0
28T387|1|1|1|0|40|40|40|0
28T388|1|1|1|0|22|22|22|0
28T389|3|3|3|0|38|38|38|0
28T390|1|1|1|0|22|22|22|0
28T391|1|1|1|0|32|32|32|0
28T392|1|1|1|0|18|18|18|0
28T393|2|2|2|0|14|14|14|0
28T394|1|3|3|1|19|31|31|1
28T395|1|1|1|0|23|27|27|1
28T396|1|1|1|0|20|27|20|2
28T397|1|1|1|0|74|104|104|1
28T398|1|1|1|0|107|107|107|0
28T399|1|1|1|0|96|96|96|0
28T400|1|1|1|0|43|43|43|0
28T401|1|1|1|0|43|43|43|0
28T402|1|1|1|0|107|149|149|1
28T403|1|1|1|0|107|107|107|0
28T404|1|1|1|0|96|96|96|0
28T405|1|1|1|0|40|40|40|0
28T406|1|1|1|0|43|43|43|0
28T407|1|1|1|0|43|43|43|0
28T408|1|1|1|0|40|40|40|0
28T409|1|1|1|0|160|160|160|0
28T410|1|1|1|0|107|149|149|1
28T411|3|3|3|0|299|299|299|0
28T412|1|1|1|0|299|299|299|0
28T413|1|1|1|0|23|23|23|0
28T414|1|1|1|0|28|28|28|0
28T415|1|1|1|0|49|139|139|1
28T416|1|1|1|0|16|35|35|1
28T417|1|1|1|0|12|12|12|0
28T418|1|2|2|1|119|211|211|1
28T419|1|2|2|1|87|155|155|1
28T420|1|2|2|1|121|218|218|1
28T421|1|1|1|0|103|103|103|0
28T422|1|2|2|1|149|242|242|1
28T423|1|1|1|0|117|117|117|0
28T424|1|1|1|0|128|128|128|0
28T425|1|1|1|0|104|104|104|0
28T426|1|1|1|0|9|9|9|0
28T427|1|1|1|0|37|37|37|0
28T428|1|1|1|0|39|39|39|0
28T429|1|1|1|0|44|44|44|0
28T430|2|2|2|0|37|37|37|0
28T431|1|1|1|0|59|59|59|0
28T432|2|2|2|0|37|37|37|0
28T433|1|1|1|0|11|11|11|0
28T434|1|1|1|0|74|74|74|0
28T435|1|1|1|0|35|35|35|0
