label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

16T1|1|1|1|0|4|4|4|0
16T2|7|7|7|0|11|11|11|0
16T3|15|15|15|0|15|15|15|0
16T4|3|3|3|0|9|9|9|0
16T5|3|3|3|0|7|7|7|0
16T6|2|2|2|0|6|6|6|0
16T7|3|3|3|0|9|9|9|0
16T8|3|3|3|0|7|7|7|0
16T9|7|7|7|0|9|9|9|0
16T10|5|5|5|0|7|7|7|0
16T11|4|4|4|0|8|8|8|0
16T12|2|2|2|0|5|5|5|0
16T13|3|3|3|0|5|5|5|0
16T14|1|1|1|0|5|5|5|0
16T15|1|1|1|0|13|13|13|0
16T16|1|1|1|0|12|12|12|0
16T17|1|1|1|0|13|13|13|0
16T18|1|1|1|0|17|17|17|0
16T19|1|1|1|0|14|14|14|0
16T20|1|1|1|0|16|16|16|0
16T21|1|1|1|0|15|15|15|0
16T22|1|1|1|0|8|8|8|0
16T23|1|1|1|0|16|16|16|0
16T24|1|1|1|0|10|10|10|0
16T25|1|1|1|0|19|19|19|0
16T26|1|1|1|0|9|9|9|0
16T27|1|1|1|0|10|10|10|0
16T28|1|1|1|0|9|9|9|0
16T29|1|1|1|0|11|11|11|0
16T30|1|1|1|0|11|11|11|0
16T31|1|1|1|0|12|12|12|0
16T32|1|1|1|0|10|10|10|0
16T33|1|1|1|0|8|8|8|0
16T34|1|1|1|0|12|12|12|0
16T35|1|1|1|0|10|10|10|0
16T36|1|1|1|0|8|8|8|0
16T37|1|1|1|0|11|11|11|0
16T38|1|1|1|0|10|10|10|0
16T39|1|1|1|0|13|13|13|0
16T40|1|1|1|0|8|8|8|0
16T41|1|1|1|0|8|8|8|0
16T42|1|1|1|0|9|9|9|0
16T43|1|1|1|0|12|12|12|0
16T44|1|1|1|0|10|10|10|0
16T45|1|1|1|0|10|10|10|0
16T46|1|1|1|0|13|13|13|0
16T47|1|1|1|0|10|10|10|0
16T48|1|1|1|0|11|11|11|0
16T49|1|1|1|0|8|9|8|2
16T50|1|1|1|0|10|10|10|0
16T51|1|1|1|0|13|15|15|1
16T52|1|1|1|0|8|8|8|0
16T53|1|1|1|0|8|8|8|0
16T54|1|1|1|0|11|11|11|0
16T55|1|1|1|0|6|7|7|1
16T56|1|1|1|0|6|7|7|1
16T57|4|4|4|0|8|8|8|0
16T58|8|8|8|0|11|11|11|0
16T59|4|4|4|0|9|9|9|0
16T60|3|3|3|0|7|7|7|0
16T61|6|6|6|0|9|9|9|0
16T62|4|5|4|2|7|7|7|0
16T63|1|1|1|0|4|4|4|0
16T64|5|5|5|0|6|6|6|0
16T65|2|3|2|2|6|6|6|0
16T66|3|3|3|0|6|6|6|0
16T67|3|3|3|0|32|32|32|0
16T68|3|3|3|0|25|25|25|0
16T69|3|3|3|0|33|33|33|0
16T70|3|3|3|0|24|24|24|0
16T71|3|3|3|0|16|16|16|0
16T72|1|1|1|0|17|17|17|0
16T73|1|1|1|0|21|21|21|0
16T74|1|1|1|0|14|14|14|0
16T75|1|1|1|0|17|17|17|0
16T76|1|1|1|0|17|17|17|0
16T77|3|3|3|0|15|15|15|0
16T78|3|3|3|0|17|17|17|0
16T79|3|3|3|0|23|23|23|0
16T80|1|1|1|0|20|20|20|0
16T81|2|2|2|0|20|20|20|0
16T82|1|1|1|0|19|19|19|0
16T83|3|3|3|0|18|18|18|0
16T84|1|1|1|0|12|12|12|0
16T85|2|2|2|0|12|12|12|0
16T86|2|2|2|0|16|16|16|0
16T87|1|1|1|0|21|21|21|0
16T88|3|3|3|0|15|15|15|0
16T89|1|1|1|0|21|21|21|0
16T90|3|3|3|0|14|14|14|0
16T91|3|3|3|0|15|15|15|0
16T92|3|3|3|0|17|17|17|0
16T93|1|1|1|0|17|17|17|0
16T94|2|2|2|0|17|17|17|0
16T95|3|3|3|0|19|19|19|0
16T96|1|1|1|0|15|15|15|0
16T97|3|3|3|0|21|21|21|0
16T98|3|3|3|0|18|18|18|0
16T99|2|2|2|0|17|17|17|0
16T100|3|3|3|0|20|20|20|0
16T101|3|3|3|0|16|16|16|0
16T102|3|3|3|0|17|17|17|0
16T103|3|3|3|0|16|17|16|2
16T104|2|2|2|0|11|11|11|0
16T105|3|3|3|0|27|27|27|0
16T106|3|3|3|0|16|16|16|0
16T107|1|1|1|0|16|16|16|0
16T108|3|3|3|0|14|14|14|0
16T109|2|2|2|0|24|24|24|0
16T110|1|1|1|0|14|14|14|0
16T111|1|1|1|0|19|19|19|0
16T112|2|2|2|0|16|16|16|0
16T113|1|1|1|0|15|15|15|0
16T114|1|1|1|0|16|16|16|0
16T115|2|2|2|0|22|22|22|0
16T116|1|1|1|0|20|20|20|0
16T117|3|3|3|0|23|23|23|0
16T118|1|1|1|0|20|20|20|0
16T119|3|3|3|0|21|21|21|0
16T120|1|1|1|0|16|16|16|0
16T121|1|1|1|0|17|19|17|2
16T122|1|1|1|0|16|16|16|0
16T123|3|3|3|0|14|14|14|0
16T124|1|1|1|0|12|15|12|2
16T125|1|1|1|0|12|12|12|0
16T126|1|1|1|0|16|16|16|0
16T127|3|3|3|0|15|15|15|0
16T128|1|1|1|0|15|15|15|0
16T129|1|1|1|0|15|15|15|0
16T130|1|1|1|0|10|10|10|0
16T131|1|1|1|0|9|9|9|0
16T132|1|1|1|0|13|13|13|0
16T133|1|1|1|0|13|13|13|0
16T134|1|1|1|0|12|13|13|1
16T135|3|3|3|0|15|15|15|0
16T136|1|1|1|0|10|13|\N|\N
16T137|1|1|1|0|15|15|15|0
16T138|1|1|1|0|14|14|14|0
16T139|1|1|1|0|10|10|10|0
16T140|2|2|2|0|9|9|9|0
16T141|1|1|1|0|15|15|15|0
16T142|1|1|1|0|15|15|15|0
16T143|1|1|1|0|10|10|10|0
16T144|1|1|1|0|10|11|11|1
16T145|3|3|3|0|14|14|14|0
16T146|3|3|3|0|14|14|14|0
16T147|3|3|3|0|15|15|15|0
16T148|1|1|1|0|9|9|9|0
16T149|2|2|2|0|15|15|15|0
16T150|2|2|2|0|15|15|15|0
16T151|1|1|1|0|9|9|9|0
16T152|2|2|2|0|15|15|15|0
16T153|1|1|1|0|9|9|9|0
16T154|1|1|1|0|9|9|9|0
16T155|1|1|1|0|16|16|16|0
16T156|1|1|1|0|10|11|11|1
16T157|1|1|1|0|10|10|10|0
16T158|2|2|2|0|10|10|10|0
16T159|3|3|3|0|10|10|10|0
16T160|2|2|2|0|9|9|9|0
16T161|1|1|1|0|12|12|12|0
16T162|1|1|1|0|14|14|14|0
16T163|1|1|1|0|12|12|12|0
16T164|1|1|1|0|14|14|14|0
16T165|1|1|1|0|14|14|14|0
16T166|1|1|1|0|10|10|10|0
16T167|2|2|2|0|10|10|10|0
16T168|1|1|1|0|10|10|10|0
16T169|1|1|1|0|10|10|10|0
16T170|2|2|2|0|10|10|10|0
16T171|2|2|2|0|10|10|10|0
16T172|1|1|1|0|10|10|10|0
16T173|3|3|3|0|14|14|14|0
16T174|2|2|2|0|9|9|9|0
16T175|2|2|2|0|14|14|14|0
16T176|1|1|1|0|9|9|9|0
16T177|2|2|2|0|14|14|14|0
16T178|3|3|3|0|4|4|4|0
16T179|1|1|1|0|14|14|14|0
16T180|1|1|1|0|13|13|13|0
16T181|1|1|1|0|14|14|14|0
16T182|1|1|1|0|19|19|19|0
16T183|1|1|1|0|7|7|7|0
16T184|1|1|1|0|6|6|6|0
16T185|1|1|1|0|7|7|7|0
16T186|1|1|1|0|12|12|12|0
16T187|1|1|1|0|11|11|11|0
16T188|1|1|1|0|13|13|13|0
16T189|1|1|1|0|11|11|11|0
16T190|1|1|1|0|11|11|11|0
16T191|1|1|1|0|12|12|12|0
16T192|1|1|1|0|11|11|11|0
16T193|1|1|1|0|12|12|12|0
16T194|1|1|1|0|9|9|9|0
16T195|1|1|1|0|7|7|7|0
16T196|3|3|3|0|5|5|5|0
16T197|7|7|7|0|64|64|64|0
16T198|5|5|5|0|43|43|43|0
16T199|3|3|3|0|32|32|32|0
16T200|5|5|5|0|32|32|32|0
16T201|5|5|5|0|39|39|39|0
16T202|7|7|7|0|32|32|32|0
16T203|5|5|5|0|32|32|32|0
16T204|3|3|3|0|40|40|40|0
16T205|3|3|3|0|31|31|31|0
16T206|3|3|3|0|37|37|37|0
16T207|3|3|3|0|33|33|33|0
16T208|1|1|1|0|25|25|25|0
16T209|3|3|3|0|23|23|23|0
16T210|4|4|4|0|25|25|25|0
16T211|3|3|3|0|29|35|35|1
16T212|7|7|7|0|20|20|20|0
16T213|2|2|2|0|18|18|18|0
16T214|1|1|1|0|28|28|28|0
16T215|3|3|3|0|23|23|23|0
16T216|2|2|2|0|22|22|22|0
16T217|4|4|4|0|25|25|25|0
16T218|1|1|1|0|22|22|22|0
16T219|2|2|2|0|18|18|18|0
16T220|2|2|2|0|19|23|19|2
16T221|1|1|1|0|22|22|22|0
16T222|2|2|2|0|22|22|22|0
16T223|3|3|3|0|29|29|29|0
16T224|2|2|2|0|22|22|22|0
16T225|1|1|1|0|23|23|23|0
16T226|2|2|2|0|18|18|18|0
16T227|3|3|3|0|21|21|21|0
16T228|2|2|2|0|16|16|16|0
16T229|3|3|3|0|20|20|20|0
16T230|3|3|3|0|25|25|25|0
16T231|5|5|5|0|20|20|20|0
16T232|3|3|3|0|24|24|24|0
16T233|2|2|2|0|20|20|20|0
16T234|2|2|2|0|18|18|18|0
16T235|2|2|2|0|21|21|21|0
16T236|2|2|2|0|18|18|18|0
16T237|5|5|5|0|25|25|25|0
16T238|2|2|2|0|22|22|22|0
16T239|2|2|2|0|28|28|28|0
16T240|4|4|4|0|27|27|27|0
16T241|7|7|7|0|28|28|28|0
16T242|2|2|2|0|14|15|14|2
16T243|3|3|3|0|19|19|19|0
16T244|2|2|2|0|18|18|18|0
16T245|4|4|4|0|31|31|31|0
16T246|1|1|1|0|31|31|31|0
16T247|3|3|3|0|25|25|25|0
16T248|2|2|2|0|21|21|21|0
16T249|5|5|5|0|25|25|25|0
16T250|2|2|2|0|18|18|18|0
16T251|3|3|3|0|23|23|23|0
16T252|4|4|4|0|23|23|23|0
16T253|4|4|4|0|27|27|27|0
16T254|3|3|3|0|23|23|23|0
16T255|3|3|3|0|31|31|31|0
16T256|1|1|1|0|17|19|\N|\N
16T257|3|3|3|0|16|16|16|0
16T258|1|1|1|0|16|16|16|0
16T259|2|2|2|0|21|21|21|0
16T260|1|1|1|0|16|19|19|1
16T261|1|1|1|0|21|21|21|0
16T262|2|2|2|0|28|28|28|0
16T263|2|2|2|0|18|18|18|0
16T264|2|2|2|0|29|29|29|0
16T265|2|2|2|0|31|31|31|0
16T266|5|5|5|0|18|18|18|0
16T267|3|3|3|0|22|22|22|0
16T268|4|4|4|0|22|22|22|0
16T269|2|2|2|0|28|28|28|0
16T270|1|1|1|0|29|29|29|0
16T271|3|3|3|0|31|31|31|0
16T272|5|5|5|0|20|20|20|0
16T273|3|3|3|0|21|21|21|0
16T274|5|5|5|0|23|23|23|0
16T275|5|5|5|0|27|27|27|0
16T276|1|1|1|0|22|22|22|0
16T277|1|1|1|0|28|28|28|0
16T278|4|4|4|0|22|22|22|0
16T279|1|1|1|0|23|23|23|0
16T280|3|3|3|0|19|19|19|0
16T281|2|2|2|0|18|18|18|0
16T282|3|3|3|0|28|28|28|0
16T283|3|3|3|0|21|21|21|0
16T284|5|5|5|0|22|22|22|0
16T285|2|2|2|0|18|18|18|0
16T286|2|2|2|0|20|20|20|0
16T287|2|2|2|0|18|18|18|0
16T288|5|5|5|0|28|28|28|0
16T289|1|1|1|0|18|23|23|1
16T290|2|2|2|0|24|24|24|0
16T291|3|3|3|0|21|23|21|2
16T292|1|1|1|0|19|19|19|0
16T293|2|2|2|0|19|19|19|0
16T294|3|3|3|0|19|23|19|2
16T295|7|7|7|0|22|22|22|0
16T296|1|1|1|0|26|26|26|0
16T297|1|1|1|0|18|18|18|0
16T298|3|3|3|0|22|22|22|0
16T299|2|2|2|0|23|23|23|0
16T300|2|2|2|0|19|19|19|0
16T301|4|4|4|0|28|28|28|0
16T302|2|2|2|0|25|25|25|0
16T303|3|3|3|0|29|29|29|0
16T304|3|3|3|0|22|22|22|0
16T305|5|5|5|0|22|22|22|0
16T306|1|1|1|0|14|15|14|2
16T307|3|3|3|0|22|22|22|0
16T308|1|1|1|0|25|25|25|0
16T309|2|2|2|0|28|28|28|0
16T310|5|5|5|0|18|18|18|0
16T311|3|3|3|0|23|23|23|0
16T312|3|3|3|0|26|26|26|0
16T313|4|4|4|0|28|28|28|0
16T314|2|2|2|0|21|23|21|2
16T315|3|3|3|0|18|18|18|0
16T316|3|3|3|0|20|20|20|0
16T317|3|3|3|0|18|18|18|0
16T318|3|3|3|0|22|22|22|0
16T319|1|1|1|0|18|18|18|0
16T320|3|3|3|0|28|28|28|0
16T321|3|3|3|0|21|23|23|1
16T322|2|2|2|0|19|19|19|0
16T323|3|3|3|0|19|19|19|0
16T324|5|5|5|0|18|18|18|0
16T325|7|7|7|0|43|43|43|0
16T326|3|3|3|0|22|22|22|0
16T327|2|2|2|0|19|19|19|0
16T328|1|1|1|0|26|26|26|0
16T329|5|5|5|0|28|28|28|0
16T330|2|2|2|0|16|16|16|0
16T331|3|3|3|0|21|21|21|0
16T332|1|1|1|0|19|19|19|0
16T333|1|1|1|0|22|22|22|0
16T334|3|3|3|0|18|19|18|2
16T335|1|1|1|0|12|12|12|0
16T336|2|2|2|0|16|16|16|0
16T337|1|1|1|0|17|17|17|0
16T338|1|1|1|0|20|20|20|0
16T339|2|2|2|0|16|16|16|0
16T340|2|2|2|0|16|16|16|0
16T341|3|3|3|0|16|16|16|0
16T342|2|2|2|0|16|16|16|0
16T343|1|1|1|0|12|12|12|0
16T344|2|2|2|0|17|17|17|0
16T345|3|3|3|0|17|17|17|0
16T346|1|1|1|0|14|19|17|3
16T347|4|4|4|0|22|22|22|0
16T348|2|2|2|0|13|14|14|1
16T349|1|1|1|0|16|16|16|0
16T350|4|4|4|0|24|24|24|0
16T351|1|1|1|0|17|19|19|1
16T352|1|1|1|0|16|16|16|0
16T353|3|3|3|0|20|20|20|0
16T354|4|4|4|0|19|19|19|0
16T355|1|1|1|0|13|14|14|1
16T356|1|1|1|0|14|19|\N|\N
16T357|1|1|1|0|16|16|16|0
16T358|7|7|7|0|19|19|19|0
16T359|2|2|2|0|16|16|16|0
16T360|3|3|3|0|20|20|20|0
16T361|1|1|1|0|12|12|12|0
16T362|1|1|1|0|11|11|11|0
16T363|1|1|1|0|12|12|12|0
16T364|1|1|1|0|24|24|24|0
16T365|3|3|3|0|16|16|16|0
16T366|1|1|1|0|16|16|16|0
16T367|1|1|1|0|21|21|21|0
16T368|3|3|3|0|19|19|19|0
16T369|4|4|4|0|19|19|19|0
16T370|1|1|1|0|19|19|19|0
16T371|2|2|2|0|13|14|14|1
16T372|7|7|7|0|15|15|15|0
16T373|4|4|4|0|24|24|24|0
16T374|2|2|2|0|15|17|17|1
16T375|1|1|1|0|10|10|10|0
16T376|2|2|2|0|19|19|19|0
16T377|1|1|1|0|12|12|12|0
16T378|1|1|1|0|12|12|12|0
16T379|1|1|1|0|17|19|19|1
16T380|1|1|1|0|17|17|17|0
16T381|1|1|1|0|16|16|16|0
16T382|2|2|2|0|22|22|22|0
16T383|3|3|3|0|15|15|15|0
16T384|3|3|3|0|19|19|19|0
16T385|2|2|2|0|17|17|17|0
16T386|1|1|1|0|16|16|16|0
16T387|1|1|1|0|12|12|12|0
16T388|3|3|3|0|19|19|19|0
16T389|1|1|1|0|19|19|19|0
16T390|2|2|2|0|19|19|19|0
16T391|1|1|1|0|19|19|19|0
16T392|2|2|2|0|24|24|24|0
16T393|2|2|2|0|19|19|19|0
16T394|3|3|3|0|16|16|16|0
16T395|1|1|1|0|19|19|19|0
16T396|1|1|1|0|19|19|19|0
16T397|1|1|1|0|12|12|12|0
16T398|1|1|1|0|12|12|12|0
16T399|1|1|1|0|17|17|17|0
16T400|1|1|1|0|17|17|17|0
16T401|3|3|3|0|19|19|19|0
16T402|3|3|3|0|16|16|16|0
16T403|1|1|1|0|20|20|20|0
16T404|1|1|1|0|16|16|16|0
16T405|2|2|2|0|20|20|20|0
16T406|1|1|1|0|22|22|22|0
16T407|1|1|1|0|17|17|17|0
16T408|1|1|1|0|24|27|27|1
16T409|2|2|2|0|20|20|20|0
16T410|2|2|2|0|17|17|17|0
16T411|3|3|3|0|19|19|19|0
16T412|3|3|3|0|17|17|17|0
16T413|1|1|1|0|12|12|12|0
16T414|5|5|5|0|9|9|9|0
16T415|1|1|1|0|8|8|8|0
16T416|1|1|1|0|15|15|15|0
16T417|1|1|1|0|12|12|12|0
16T418|1|1|1|0|12|12|12|0
16T419|3|3|3|0|12|12|12|0
16T420|3|3|3|0|12|12|12|0
16T421|2|2|2|0|24|24|24|0
16T422|1|1|1|0|21|21|21|0
16T423|1|1|1|0|15|15|15|0
16T424|1|1|1|0|17|17|17|0
16T425|1|1|1|0|11|11|11|0
16T426|1|1|1|0|9|9|9|0
16T427|1|1|1|0|11|11|11|0
16T428|1|1|1|0|9|9|9|0
16T429|1|1|1|0|19|19|19|0
16T430|1|1|1|0|8|8|8|0
16T431|3|3|3|0|13|13|13|0
16T432|1|1|1|0|8|8|8|0
16T433|1|1|1|0|8|8|8|0
16T434|1|1|1|0|15|15|15|0
16T435|1|1|1|0|13|13|13|0
