label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

24T1|1|1|1|0|7|7|7|0
24T2|3|3|3|0|11|11|11|0
24T3|7|7|7|0|15|15|15|0
24T4|1|1|1|0|9|9|9|0
24T5|1|1|1|0|7|8|7|2
24T6|3|3|3|0|9|11|9|2
24T7|1|1|1|0|4|4|4|0
24T8|1|1|1|0|6|8|6|2
24T9|3|3|3|0|5|5|5|0
24T10|2|2|2|0|4|4|4|0
24T11|7|7|7|0|11|11|11|0
24T12|3|3|3|0|8|8|8|0
24T13|3|3|3|0|7|8|8|1
24T14|3|3|3|0|7|8|8|1
24T15|3|3|3|0|9|9|9|0
24T16|1|1|1|0|13|13|13|0
24T17|1|1|1|0|17|17|17|0
24T18|1|1|1|0|13|14|14|1
24T19|1|1|1|0|13|14|14|1
24T20|1|1|1|0|11|14|11|2
24T21|1|1|1|0|7|7|7|0
24T22|1|1|1|0|6|6|6|0
24T23|1|1|1|0|13|14|14|1
24T24|1|1|1|0|13|14|14|1
24T25|1|1|1|0|15|17|17|1
24T26|1|1|1|0|14|14|14|0
24T27|1|1|1|0|17|17|17|0
24T28|1|1|1|0|13|14|14|1
24T29|1|1|1|0|15|17|17|1
24T30|1|1|1|0|23|23|23|0
24T31|1|1|1|0|10|11|11|1
24T32|1|1|1|0|11|11|11|0
24T33|1|1|1|0|12|14|14|1
24T34|1|1|1|0|9|11|11|1
24T35|1|1|1|0|9|11|11|1
24T36|1|1|1|0|9|11|11|1
24T37|1|1|1|0|9|11|11|1
24T38|1|1|1|0|19|19|19|0
24T39|1|1|1|0|15|15|15|0
24T40|1|1|1|0|11|11|11|0
24T41|1|1|1|0|11|11|11|0
24T42|1|1|1|0|9|11|9|2
24T43|1|1|1|0|9|11|11|1
24T44|1|1|1|0|13|17|13|2
24T45|1|1|1|0|15|17|17|1
24T46|1|1|1|0|9|9|9|0
24T47|1|1|1|0|9|9|9|0
24T48|1|1|1|0|9|9|9|0
24T49|1|1|1|0|11|11|11|0
24T50|1|1|1|0|11|11|11|0
24T51|1|1|1|0|7|7|7|0
24T52|1|1|1|0|14|14|14|0
24T53|1|1|1|0|14|14|14|0
24T54|1|1|1|0|14|14|14|0
24T55|1|1|1|0|8|8|8|0
24T56|1|1|1|0|8|8|8|0
24T57|1|1|1|0|7|7|7|0
24T58|1|1|1|0|4|4|4|0
24T59|1|1|1|0|6|6|6|0
24T60|1|2|2|1|14|17|14|2
24T61|1|2|2|1|12|14|14|1
24T62|1|2|1|2|12|14|12|2
24T63|1|1|1|0|7|7|7|0
24T64|1|2|1|2|15|17|15|2
24T65|1|2|2|1|17|17|17|0
24T66|1|2|1|2|19|23|19|2
24T67|1|2|2|1|15|17|17|1
24T68|1|2|2|1|23|23|23|0
24T69|1|2|1|2|13|17|13|2
24T70|2|2|2|0|11|11|11|0
24T71|4|4|4|0|13|13|13|0
24T72|1|1|1|0|8|8|8|0
24T73|1|2|2|1|17|17|17|0
24T74|1|2|2|1|12|14|14|1
24T75|1|2|2|1|13|14|14|1
24T76|1|1|1|0|9|9|9|0
24T77|1|2|2|1|16|20|20|1
24T78|4|4|4|0|8|8|8|0
24T79|3|3|3|0|8|11|11|1
24T80|3|3|3|0|9|9|9|0
24T81|2|2|2|0|4|4|4|0
24T82|2|2|2|0|5|5|5|0
24T83|3|3|3|0|8|8|8|0
24T84|2|2|2|0|9|9|9|0
24T85|1|1|1|0|11|11|11|0
24T86|1|1|1|0|14|14|14|0
24T87|1|1|1|0|12|12|12|0
24T88|1|1|1|0|9|9|9|0
24T89|1|1|1|0|10|11|10|2
24T90|2|2|2|0|17|17|17|0
24T91|2|2|2|0|17|17|17|0
24T92|3|3|3|0|33|33|33|0
24T93|3|3|3|0|17|17|17|0
24T94|3|3|3|0|14|17|17|1
24T95|3|3|3|0|25|26|26|1
24T96|3|3|3|0|15|20|15|2
24T97|1|1|1|0|8|8|8|0
24T98|2|2|2|0|15|20|15|2
24T99|2|2|2|0|15|20|15|2
24T100|1|1|1|0|25|26|26|1
24T101|1|1|1|0|26|26|26|0
24T102|1|1|1|0|25|26|26|1
24T103|1|1|1|0|14|17|17|1
24T104|1|1|1|0|20|20|20|0
24T105|1|1|1|0|14|17|17|1
24T106|1|1|1|0|15|17|17|1
24T107|1|1|1|0|17|20|20|1
24T108|1|1|1|0|14|17|17|1
24T109|1|1|1|0|16|20|16|2
24T110|1|1|1|0|17|20|20|1
24T111|1|1|1|0|15|20|15|2
24T112|3|3|3|0|27|27|27|0
24T113|1|1|1|0|19|19|19|0
24T114|1|1|1|0|21|21|21|0
24T115|1|1|1|0|17|17|17|0
24T116|3|3|3|0|23|29|29|1
24T117|1|1|1|0|16|20|20|1
24T118|1|1|1|0|17|20|20|1
24T119|1|1|1|0|14|17|17|1
24T120|1|1|1|0|6|6|6|0
24T121|1|1|1|0|6|6|6|0
24T122|1|1|1|0|6|6|6|0
24T123|3|3|3|0|15|15|15|0
24T124|1|1|1|0|15|15|15|0
24T125|3|3|3|0|19|19|19|0
24T126|1|1|1|0|19|19|19|0
24T127|1|1|1|0|11|11|11|0
24T128|1|1|1|0|12|12|12|0
24T129|1|1|1|0|14|14|14|0
24T130|1|1|1|0|14|14|14|0
24T131|1|1|1|0|12|12|12|0
24T132|1|1|1|0|15|15|15|0
24T133|1|1|1|0|17|17|17|0
24T134|3|3|3|0|17|17|17|0
24T135|1|1|1|0|23|23|23|0
24T136|3|3|3|0|23|23|23|0
24T137|3|3|3|0|13|13|13|0
24T138|1|1|1|0|10|10|10|0
24T139|1|1|1|0|17|17|17|0
24T140|1|1|1|0|16|17|17|1
24T141|1|1|1|0|16|17|17|1
24T142|1|1|1|0|17|17|17|0
24T143|1|1|1|0|29|29|29|0
24T144|1|1|1|0|21|23|23|1
24T145|1|1|1|0|21|23|23|1
24T146|1|1|1|0|23|23|23|0
24T147|1|1|1|0|17|17|17|0
24T148|1|1|1|0|15|15|15|0
24T149|3|3|3|0|8|8|8|0
24T150|1|1|1|0|19|19|19|0
24T151|2|2|2|0|19|19|19|0
24T152|1|1|1|0|19|19|19|0
24T153|1|1|1|0|12|12|12|0
24T154|1|1|1|0|12|12|12|0
24T155|2|2|2|0|12|12|12|0
24T156|1|1|1|0|12|12|12|0
24T157|1|1|1|0|12|12|12|0
24T158|2|2|2|0|12|12|12|0
24T159|1|1|1|0|12|12|12|0
24T160|1|1|1|0|14|14|14|0
24T161|2|2|2|0|14|14|14|0
24T162|1|1|1|0|14|14|14|0
24T163|2|2|2|0|14|14|14|0
24T164|1|1|1|0|14|14|14|0
24T165|1|1|1|0|12|12|12|0
24T166|1|1|1|0|12|12|12|0
24T167|1|1|1|0|14|14|14|0
24T168|2|2|2|0|14|14|14|0
24T169|1|1|1|0|14|14|14|0
24T170|1|1|1|0|12|12|12|0
24T171|1|1|1|0|12|12|12|0
24T172|1|1|1|0|12|12|12|0
24T173|1|1|1|0|9|9|9|0
24T174|1|1|1|0|9|9|9|0
24T175|1|1|1|0|9|9|9|0
24T176|1|1|1|0|13|13|13|0
24T177|3|3|3|0|13|13|13|0
24T178|3|3|3|0|13|13|13|0
24T179|1|1|1|0|7|7|7|0
24T180|1|1|1|0|7|7|7|0
24T181|2|2|2|0|7|7|7|0
24T182|1|1|1|0|7|7|7|0
24T183|1|1|1|0|7|7|7|0
24T184|1|1|1|0|7|7|7|0
24T185|1|1|1|0|7|7|7|0
24T186|1|1|1|0|7|7|7|0
24T187|1|1|1|0|7|7|7|0
24T188|1|1|1|0|7|7|7|0
24T189|1|1|1|0|7|7|7|0
24T190|1|1|1|0|7|7|7|0
24T191|1|1|1|0|7|7|7|0
24T192|1|1|1|0|7|7|7|0
24T193|1|1|1|0|7|7|7|0
24T194|1|1|1|0|7|7|7|0
24T195|2|2|2|0|9|9|9|0
24T196|1|1|1|0|9|9|9|0
24T197|1|1|1|0|9|9|9|0
24T198|3|3|3|0|9|9|9|0
24T199|1|1|1|0|9|9|9|0
24T200|2|2|2|0|9|9|9|0
24T201|1|1|1|0|6|6|6|0
24T202|2|2|2|0|6|6|6|0
24T203|3|3|3|0|7|7|7|0
24T204|1|1|1|0|23|26|26|1
24T205|1|1|1|0|21|23|23|1
24T206|1|1|1|0|22|26|26|1
24T207|1|1|1|0|14|14|14|0
24T208|1|1|1|0|29|29|29|0
24T209|1|1|1|0|27|29|29|1
24T210|1|1|1|0|28|32|32|1
24T211|1|1|1|0|24|32|24|2
24T212|1|1|1|0|9|9|9|0
24T213|2|2|2|0|14|14|14|0
24T214|2|2|2|0|13|13|13|0
24T215|2|2|2|0|14|14|14|0
24T216|2|2|2|0|13|13|13|0
24T217|1|1|1|0|11|11|11|0
24T218|1|1|1|0|11|11|11|0
24T219|1|1|1|0|11|11|11|0
24T220|1|1|1|0|11|11|11|0
24T221|1|2|2|1|21|23|23|1
24T222|1|2|2|1|21|23|23|1
24T223|2|2|2|0|22|23|23|1
24T224|2|2|2|0|26|26|26|0
24T225|2|2|2|0|27|29|29|1
24T226|1|2|2|1|23|26|26|1
24T227|1|2|2|1|21|23|23|1
24T228|1|2|2|1|21|23|23|1
24T229|1|2|2|1|23|26|26|1
24T230|1|2|2|1|25|29|29|1
24T231|2|2|2|0|22|23|23|1
24T232|2|2|2|0|35|35|35|0
24T233|1|2|2|1|16|23|\N|\N
24T234|1|2|2|1|16|23|20|3
24T235|1|2|2|1|21|26|26|1
24T236|1|2|2|1|17|20|20|1
24T237|2|2|2|0|18|20|20|1
24T238|2|2|2|0|13|15|13|2
24T239|2|2|2|0|13|15|13|2
24T240|2|2|2|0|15|15|15|0
24T241|2|2|2|0|19|19|19|0
24T242|2|2|2|0|19|19|19|0
24T243|1|1|1|0|12|13|12|2
24T244|2|2|2|0|13|13|13|0
24T245|1|2|1|2|20|26|20|2
24T246|1|2|2|1|20|26|26|1
24T247|1|1|1|0|29|41|29|2
24T248|1|1|1|0|33|41|41|1
24T249|1|1|1|0|14|14|14|0
24T250|1|1|1|0|17|17|17|0
24T251|1|1|1|0|17|23|23|1
24T252|1|1|1|0|13|20|20|1
24T253|1|1|1|0|13|13|13|0
24T254|1|1|1|0|19|19|19|0
24T255|1|1|1|0|9|9|9|0
24T256|1|1|1|0|9|9|9|0
24T257|1|1|1|0|11|11|11|0
24T258|1|1|1|0|9|9|9|0
24T259|1|1|1|0|9|9|9|0
24T260|1|1|1|0|11|11|11|0
24T261|1|1|1|0|17|17|17|0
24T262|1|1|1|0|17|17|17|0
24T263|2|2|2|0|17|17|17|0
24T264|2|2|2|0|17|17|17|0
24T265|1|1|1|0|14|14|14|0
24T266|1|1|1|0|14|14|14|0
24T267|2|2|2|0|14|14|14|0
24T268|2|2|2|0|14|14|14|0
24T269|2|2|2|0|23|26|26|1
24T270|1|1|1|0|23|26|26|1
24T271|1|2|2|1|23|26|26|1
24T272|1|1|1|0|15|15|15|0
24T273|2|2|2|0|15|15|15|0
24T274|1|1|1|0|15|15|15|0
24T275|1|1|1|0|14|14|14|0
24T276|1|1|1|0|14|14|14|0
24T277|1|1|1|0|14|14|14|0
24T278|1|1|1|0|7|7|7|0
24T279|1|1|1|0|7|7|7|0
24T280|1|1|1|0|7|7|7|0
24T281|1|1|1|0|14|14|14|0
24T282|1|1|1|0|5|5|5|0
24T283|1|1|1|0|4|4|4|0
24T284|1|1|1|0|4|4|4|0
24T285|1|1|1|0|21|22|21|2
24T286|1|1|1|0|31|31|31|0
24T287|1|1|1|0|25|29|29|1
24T288|1|1|1|0|11|11|11|0
24T289|1|1|1|0|19|26|19|2
24T290|1|1|1|0|13|13|13|0
24T291|1|1|1|0|12|12|12|0
24T292|1|1|1|0|22|22|22|0
24T293|1|1|1|0|12|12|12|0
24T294|1|1|1|0|18|19|18|2
24T295|1|1|1|0|22|22|22|0
24T296|1|1|1|0|26|26|26|0
24T297|1|1|1|0|20|20|20|0
24T298|1|1|1|0|9|9|9|0
24T299|1|1|1|0|10|10|10|0
24T300|1|1|1|0|13|13|13|0
24T301|1|1|1|0|12|12|12|0
24T302|1|1|1|0|16|16|16|0
24T303|1|1|1|0|12|12|12|0
24T304|1|1|1|0|11|11|11|0
24T305|1|1|1|0|10|10|10|0
24T306|1|1|1|0|13|13|13|0
24T307|1|1|1|0|12|12|12|0
24T308|1|1|1|0|10|10|10|0
24T309|1|1|1|0|12|12|12|0
24T310|1|1|1|0|9|9|9|0
24T311|1|1|1|0|12|13|12|2
24T312|1|1|1|0|9|9|9|0
24T313|1|1|1|0|10|10|10|0
24T314|1|1|1|0|12|12|12|0
24T315|1|1|1|0|10|10|10|0
24T316|1|1|1|0|10|10|10|0
24T317|1|1|1|0|13|13|13|0
24T318|1|1|1|0|22|22|22|0
24T319|1|1|1|0|22|22|22|0
24T320|1|1|1|0|22|22|22|0
24T321|1|1|1|0|24|24|24|0
24T322|1|1|1|0|19|19|19|0
24T323|1|1|1|0|17|17|17|0
24T324|1|1|1|0|15|17|17|1
24T325|1|1|1|0|15|17|17|1
24T326|1|1|1|0|15|15|15|0
24T327|1|1|1|0|15|15|15|0
24T328|1|1|1|0|17|17|17|0
24T329|1|1|1|0|17|17|17|0
24T330|1|1|1|0|15|15|15|0
24T331|1|1|1|0|15|15|15|0
24T332|1|1|1|0|12|12|12|0
24T333|1|1|1|0|12|12|12|0
24T334|3|3|3|0|26|32|32|1
24T335|3|3|3|0|50|50|50|0
24T336|3|3|3|0|24|26|26|1
24T337|3|3|3|0|26|26|26|0
24T338|2|2|2|0|17|20|20|1
24T339|2|2|2|0|26|26|26|0
24T340|2|2|2|0|17|20|20|1
24T341|2|2|2|0|26|26|26|0
24T342|2|2|2|0|17|20|20|1
24T343|2|2|2|0|24|26|26|1
24T344|2|2|2|0|17|20|20|1
24T345|2|2|2|0|24|26|26|1
24T346|2|2|2|0|17|20|20|1
24T347|2|2|2|0|26|32|32|1
24T348|2|2|2|0|17|20|20|1
24T349|2|2|2|0|26|32|32|1
24T350|2|2|2|0|31|31|31|0
24T351|3|3|3|0|21|22|21|2
24T352|3|3|3|0|31|31|31|0
24T353|2|2|2|0|21|22|21|2
24T354|2|2|2|0|19|26|19|2
24T355|2|2|2|0|25|29|29|1
24T356|3|3|3|0|19|26|19|2
24T357|3|3|3|0|25|29|29|1
24T358|1|1|1|0|24|24|24|0
24T359|1|1|1|0|22|22|22|0
24T360|3|3|3|0|41|41|41|0
24T361|1|1|1|0|29|29|29|0
24T362|1|1|1|0|32|32|32|0
24T363|1|1|1|0|26|26|26|0
24T364|2|2|2|0|25|29|29|1
24T365|1|1|1|0|25|29|29|1
24T366|1|1|1|0|24|26|26|1
24T367|1|1|1|0|24|26|26|1
24T368|3|3|3|0|12|12|12|0
24T369|3|3|3|0|12|12|12|0
24T370|1|1|1|0|8|8|8|0
24T371|1|1|1|0|12|12|12|0
24T372|1|1|1|0|7|7|7|0
24T373|1|1|1|0|12|12|12|0
24T374|1|1|1|0|8|8|8|0
24T375|1|1|1|0|8|8|8|0
24T376|1|1|1|0|12|12|12|0
24T377|1|1|1|0|12|12|12|0
24T378|1|1|1|0|8|8|8|0
24T379|1|1|1|0|8|8|8|0
24T380|2|2|2|0|12|12|12|0
24T381|1|1|1|0|12|12|12|0
24T382|1|1|1|0|12|12|12|0
24T383|1|1|1|0|8|8|8|0
24T384|1|1|1|0|8|8|8|0
24T385|1|1|1|0|20|20|20|0
24T386|1|1|1|0|15|15|15|0
24T387|2|2|2|0|8|8|8|0
24T388|3|3|3|0|14|14|14|0
24T389|1|1|1|0|8|8|8|0
24T390|7|7|7|0|22|22|22|0
24T391|1|1|1|0|7|7|7|0
24T392|1|1|1|0|7|7|7|0
24T393|2|2|2|0|24|24|24|0
24T394|1|1|1|0|25|25|25|0
24T395|2|2|2|0|22|22|22|0
24T396|2|2|2|0|22|22|22|0
24T397|1|1|1|0|29|29|29|0
24T398|1|1|1|0|25|25|25|0
24T399|2|2|2|0|25|25|25|0
24T400|1|1|1|0|39|39|39|0
24T401|2|2|2|0|15|15|15|0
24T402|1|1|1|0|21|23|21|2
24T403|1|1|1|0|21|23|21|2
24T404|1|1|1|0|21|23|21|2
24T405|1|1|1|0|25|25|25|0
24T406|1|1|1|0|25|25|25|0
24T407|1|1|1|0|25|25|25|0
24T408|1|1|1|0|23|23|23|0
24T409|1|1|1|0|23|23|23|0
24T410|1|1|1|0|23|23|23|0
24T411|1|1|1|0|29|29|29|0
24T412|1|1|1|0|29|29|29|0
24T413|1|1|1|0|29|29|29|0
24T414|1|1|1|0|20|20|20|0
24T415|1|1|1|0|20|20|20|0
24T416|1|1|1|0|25|25|25|0
24T417|1|1|1|0|20|20|20|0
24T418|1|1|1|0|29|29|29|0
24T419|1|1|1|0|25|25|25|0
24T420|1|1|1|0|19|19|19|0
24T421|1|1|1|0|19|19|19|0
24T422|3|3|3|0|15|15|15|0
24T423|1|1|1|0|15|15|15|0
24T424|1|1|1|0|15|15|15|0
24T425|1|1|1|0|11|11|11|0
24T426|1|1|1|0|10|10|10|0
24T427|1|1|1|0|10|10|10|0
24T428|1|1|1|0|10|10|10|0
24T429|1|1|1|0|10|10|10|0
24T430|2|2|2|0|12|12|12|0
24T431|1|1|1|0|12|12|12|0
24T432|1|1|1|0|19|19|19|0
24T433|1|1|1|0|15|15|15|0
24T434|1|1|1|0|24|24|24|0
24T435|1|1|1|0|24|24|24|0
