label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

30T1|1|1|1|0|7|7|7|0
30T2|1|1|1|0|5|5|5|0
30T3|1|1|1|0|4|5|5|1
30T4|1|1|1|0|5|5|5|0
30T5|1|1|1|0|11|11|11|0
30T6|1|1|1|0|6|9|9|1
30T7|1|1|1|0|7|9|9|1
30T8|1|1|1|0|8|8|8|0
30T9|1|1|1|0|3|3|3|0
30T10|1|1|1|0|8|8|8|0
30T11|1|1|1|0|5|5|5|0
30T12|1|1|1|0|11|11|11|0
30T13|1|1|1|0|8|8|8|0
30T14|1|1|1|0|9|11|11|1
30T15|1|2|2|1|11|11|11|0
30T16|1|2|2|1|9|11|11|1
30T17|1|1|1|0|13|19|19|1
30T18|1|1|1|0|11|11|11|0
30T19|1|1|1|0|7|7|7|0
30T20|1|1|1|0|8|8|8|0
30T21|1|1|1|0|17|17|17|0
30T22|1|1|1|0|6|6|6|0
30T23|1|1|1|0|11|14|14|1
30T24|1|1|1|0|11|14|14|1
30T25|1|1|1|0|6|6|6|0
30T26|1|1|1|0|15|19|19|1
30T27|1|1|1|0|6|6|6|0
30T28|1|1|1|0|8|8|8|0
30T29|1|1|1|0|7|7|7|0
30T30|1|1|1|0|7|7|7|0
30T31|1|1|1|0|7|7|7|0
30T32|1|1|1|0|11|14|14|1
30T33|2|2|2|0|9|9|9|0
30T34|1|1|1|0|9|9|9|0
30T35|1|1|1|0|5|5|5|0
30T36|1|2|2|1|11|14|14|1
30T37|1|1|1|0|5|5|5|0
30T38|1|1|1|0|5|5|5|0
30T39|1|2|2|1|13|13|13|0
30T40|1|1|1|0|7|7|7|0
30T41|2|2|2|0|17|17|17|0
30T42|1|2|2|1|14|17|17|1
30T43|2|2|2|0|13|14|14|1
30T44|1|2|2|1|17|17|17|0
30T45|1|1|1|0|7|7|7|0
30T46|1|1|1|0|7|14|14|1
30T47|1|2|1|2|13|19|19|1
30T48|2|2|2|0|8|11|11|1
30T49|2|2|2|0|9|11|11|1
30T50|1|1|1|0|4|4|4|0
30T51|1|1|1|0|23|29|29|1
30T52|2|2|2|0|9|9|9|0
30T53|1|1|1|0|10|14|14|1
30T54|1|1|1|0|14|14|14|0
30T55|1|1|1|0|17|17|17|0
30T56|1|1|1|0|11|14|14|1
30T57|1|1|1|0|11|14|14|1
30T58|1|1|1|0|13|13|13|0
30T59|2|2|2|0|14|14|14|0
30T60|2|2|2|0|13|13|13|0
30T61|1|1|1|0|15|15|15|0
30T62|2|2|2|0|14|14|14|0
30T63|1|1|1|0|14|14|14|0
30T64|1|1|1|0|10|14|14|1
30T65|1|1|1|0|19|19|19|0
30T66|1|1|1|0|9|9|9|0
30T67|1|2|2|1|16|20|20|1
30T68|1|1|1|0|11|11|11|0
30T69|1|1|1|0|8|8|8|0
30T70|1|1|1|0|10|10|10|0
30T71|1|1|1|0|6|7|7|1
30T72|1|1|1|0|9|9|9|0
30T73|2|4|4|1|13|29|29|1
30T74|2|3|3|1|19|19|19|0
30T75|1|1|1|0|20|20|20|0
30T76|2|4|4|1|12|29|29|1
30T77|1|1|1|0|11|11|11|0
30T78|1|1|1|0|7|9|9|1
30T79|2|3|3|1|15|17|17|1
30T80|1|1|1|0|9|9|9|0
30T81|1|1|1|0|11|11|11|0
30T82|1|1|1|0|17|17|17|0
30T83|1|2|2|1|20|29|29|1
30T84|2|2|2|0|26|26|26|0
30T85|2|2|2|0|11|11|11|0
30T86|2|2|2|0|18|29|29|1
30T87|2|2|2|0|15|15|15|0
30T88|1|1|1|0|5|5|5|0
30T89|2|2|2|0|10|11|11|1
30T90|1|1|1|0|13|13|13|0
30T91|1|2|2|1|23|29|29|1
30T92|1|1|1|0|15|15|15|0
30T93|1|1|1|0|10|11|11|1
30T94|1|1|1|0|11|11|11|0
30T95|2|2|2|0|13|13|13|0
30T96|2|2|2|0|14|14|14|0
30T97|2|2|2|0|13|19|19|1
30T98|1|1|1|0|13|13|13|0
30T99|2|2|2|0|14|14|14|0
30T100|1|1|1|0|14|14|14|0
30T101|1|1|1|0|10|11|11|1
30T102|1|1|1|0|11|11|11|0
30T103|2|2|2|0|13|13|13|0
30T104|1|2|2|1|25|35|35|1
30T105|1|1|1|0|19|19|19|0
30T106|2|2|2|0|13|14|14|1
30T107|1|1|1|0|23|29|29|1
30T108|1|1|1|0|9|9|9|0
30T109|1|1|1|0|29|29|29|0
30T110|1|1|1|0|19|24|24|1
30T111|2|2|2|0|14|14|14|0
30T112|1|1|1|0|7|7|7|0
30T113|2|2|2|0|17|17|17|0
30T114|1|1|1|0|19|24|24|1
30T115|2|2|2|0|19|24|24|1
30T116|1|1|1|0|7|7|7|0
30T117|2|2|2|0|19|24|24|1
30T118|2|2|2|0|17|17|17|0
30T119|2|2|2|0|13|14|14|1
30T120|2|2|2|0|14|14|14|0
30T121|1|1|1|0|21|29|29|1
30T122|3|4|4|1|16|20|20|1
30T123|2|4|4|1|21|39|39|1
30T124|2|4|4|1|18|44|44|1
30T125|3|4|4|1|15|20|17|3
30T126|1|1|1|0|5|5|5|0
30T127|1|1|1|0|19|19|19|0
30T128|1|1|1|0|12|12|12|0
30T129|1|1|1|0|16|20|20|1
30T130|2|4|4|1|18|44|44|1
30T131|1|1|1|0|8|8|8|0
30T132|1|1|1|0|19|19|19|0
30T133|2|3|\N|\N|15|16|15|2
30T134|1|1|1|0|12|12|12|0
30T135|1|1|1|0|29|29|29|0
30T136|2|3|\N|\N|13|20|15|3
30T137|2|3|3|1|15|20|17|3
30T138|2|2|2|0|12|12|12|0
30T139|1|1|1|0|13|15|15|1
30T140|1|1|1|0|13|13|13|0
30T141|1|1|1|0|13|13|13|0
30T142|2|2|2|0|12|17|12|2
30T143|1|1|1|0|7|9|7|2
30T144|1|1|1|0|10|10|10|0
30T145|1|1|1|0|13|13|13|0
30T146|1|1|1|0|20|44|44|1
30T147|2|4|4|1|23|39|39|1
30T148|1|1|1|0|21|21|21|0
30T149|1|1|1|0|12|12|12|0
30T150|1|1|1|0|12|13|13|1
30T151|2|3|3|1|19|19|19|0
30T152|1|1|1|0|15|19|19|1
30T153|1|1|1|0|12|13|13|1
30T154|1|1|1|0|12|12|12|0
30T155|1|1|1|0|12|13|13|1
30T156|2|3|3|1|16|20|20|1
30T157|2|3|\N|\N|13|20|15|3
30T158|2|2|2|0|13|14|13|2
30T159|1|1|1|0|26|26|26|0
30T160|2|2|2|0|20|24|24|1
30T161|2|2|2|0|35|44|44|1
30T162|1|1|1|0|6|6|6|0
30T163|1|1|1|0|11|11|11|0
30T164|1|1|1|0|10|10|10|0
30T165|3|3|3|0|20|20|20|0
30T166|1|1|1|0|10|10|10|0
30T167|1|1|1|0|20|20|20|0
30T168|3|3|3|0|21|23|23|1
30T169|1|1|1|0|20|29|29|1
30T170|1|1|1|0|20|20|20|0
30T171|1|1|1|0|7|7|7|0
30T172|1|1|1|0|11|11|11|0
30T173|2|2|2|0|18|24|24|1
30T174|1|1|1|0|20|20|20|0
30T175|2|2|2|0|21|23|23|1
30T176|1|1|1|0|10|10|10|0
30T177|1|1|1|0|23|23|23|0
30T178|2|2|2|0|20|20|20|0
30T179|1|1|1|0|11|11|11|0
30T180|1|1|1|0|27|27|27|0
30T181|2|2|2|0|20|29|29|1
30T182|1|1|1|0|13|13|13|0
30T183|1|1|1|0|13|13|13|0
30T184|1|1|1|0|18|18|18|0
30T185|1|1|1|0|18|18|18|0
30T186|1|1|1|0|13|13|13|0
30T187|1|1|1|0|13|13|13|0
30T188|1|1|1|0|15|15|15|0
30T189|1|1|1|0|27|27|27|0
30T190|2|4|4|1|11|17|17|1
30T191|2|4|4|1|14|14|14|0
30T192|2|2|2|0|14|14|14|0
30T193|2|2|2|0|19|19|19|0
30T194|1|2|2|1|30|59|59|1
30T195|2|2|2|0|34|59|59|1
30T196|1|2|1|2|27|69|69|1
30T197|1|2|2|1|33|41|41|1
30T198|2|2|2|0|25|56|56|1
30T199|1|1|1|0|20|64|64|1
30T200|1|1|1|0|29|29|29|0
30T201|1|1|1|0|27|29|29|1
30T202|1|1|1|0|15|20|15|2
30T203|1|1|1|0|9|10|10|1
30T204|2|2|2|0|9|9|9|0
30T205|3|3|3|0|14|14|14|0
30T206|2|2|2|0|26|26|26|0
30T207|2|2|2|0|26|26|26|0
30T208|1|1|1|0|15|20|15|2
30T209|2|2|2|0|26|26|26|0
30T210|1|1|1|0|7|7|7|0
30T211|1|1|1|0|17|17|17|0
30T212|1|1|1|0|15|15|15|0
30T213|1|1|1|0|39|49|49|1
30T214|1|1|1|0|9|9|9|0
30T215|2|2|2|0|26|26|26|0
30T216|1|1|1|0|7|7|7|0
30T217|1|1|1|0|9|9|9|0
30T218|1|1|1|0|35|35|35|0
30T219|1|1|1|0|17|17|17|0
30T220|1|1|1|0|9|10|10|1
30T221|1|2|2|1|21|23|23|1
30T222|1|2|2|1|23|23|23|0
30T223|1|1|1|0|11|11|11|0
30T224|1|2|2|1|23|23|23|0
30T225|1|2|2|1|21|23|23|1
30T226|1|1|1|0|29|29|29|0
30T227|1|1|1|0|23|29|\N|\N
30T228|1|1|1|0|25|27|27|1
30T229|1|1|1|0|29|29|29|0
30T230|1|1|1|0|35|59|59|1
30T231|1|1|1|0|24|29|29|1
30T232|3|4|4|1|23|29|\N|\N
30T233|2|2|2|0|9|9|9|0
30T234|2|2|2|0|19|19|19|0
30T235|1|1|1|0|27|27|27|0
30T236|2|2|2|0|19|19|19|0
30T237|3|4|4|1|24|29|29|1
30T238|3|4|4|1|22|23|23|1
30T239|2|2|2|0|12|12|12|0
30T240|1|1|1|0|16|34|34|1
30T241|1|1|1|0|23|23|23|0
30T242|1|1|1|0|20|20|20|0
30T243|1|1|1|0|25|25|25|0
30T244|1|1|1|0|16|34|34|1
30T245|1|1|1|0|15|19|19|1
30T246|1|1|1|0|13|22|22|1
30T247|1|1|1|0|19|19|19|0
30T248|1|1|1|0|17|23|17|2
30T249|1|1|1|0|19|19|19|0
30T250|1|1|1|0|15|24|24|1
30T251|3|3|3|0|15|17|17|1
30T252|1|1|1|0|20|20|20|0
30T253|1|1|1|0|29|29|29|0
30T254|1|1|1|0|13|22|22|1
30T255|1|1|1|0|19|19|19|0
30T256|1|1|1|0|25|25|25|0
30T257|1|1|1|0|35|44|44|1
30T258|1|1|1|0|19|19|19|0
30T259|1|1|1|0|20|20|20|0
30T260|1|1|1|0|21|21|21|0
30T261|1|1|1|0|21|21|21|0
30T262|2|2|2|0|19|19|19|0
30T263|1|1|1|0|41|41|41|0
30T264|1|1|1|0|12|12|12|0
30T265|1|1|1|0|17|17|17|0
30T266|1|1|1|0|20|20|20|0
30T267|1|1|1|0|17|17|17|0
30T268|1|1|1|0|23|23|23|0
30T269|1|1|1|0|37|37|37|0
30T270|1|1|1|0|45|45|45|0
30T271|1|1|1|0|9|9|9|0
30T272|1|1|1|0|20|20|20|0
30T273|1|1|1|0|22|22|22|0
30T274|1|1|1|0|17|17|17|0
30T275|1|1|1|0|22|22|22|0
30T276|1|1|1|0|23|23|23|0
30T277|1|1|1|0|9|9|9|0
30T278|1|1|1|0|27|27|27|0
30T279|1|1|1|0|9|9|9|0
30T280|1|1|1|0|22|22|22|0
30T281|1|1|1|0|9|9|9|0
30T282|1|1|1|0|14|39|39|1
30T283|1|1|1|0|31|31|31|0
30T284|1|1|1|0|22|22|22|0
30T285|1|1|1|0|13|29|29|1
30T286|1|1|1|0|19|19|19|0
30T287|1|4|4|1|17|49|49|1
30T288|1|4|4|1|14|39|39|1
30T289|1|1|1|0|20|20|20|0
30T290|2|4|4|1|21|22|22|1
30T291|2|4|4|1|21|22|22|1
30T292|2|4|4|1|23|35|35|1
30T293|1|1|1|0|8|8|8|0
30T294|2|4|4|1|29|29|29|0
30T295|1|1|1|0|12|14|12|2
30T296|1|1|1|0|12|14|12|2
30T297|2|4|4|1|21|22|22|1
30T298|1|1|1|0|12|14|12|2
30T299|1|2|1|2|12|14|12|2
30T300|1|1|1|0|9|9|9|0
30T301|2|2|2|0|29|29|29|0
30T302|5|6|5|2|12|14|12|2
30T303|1|2|2|1|28|50|38|3
30T304|2|2|2|0|35|119|119|1
30T305|2|2|2|0|31|57|57|1
30T306|2|2|2|0|12|12|12|0
30T307|2|2|2|0|29|35|35|1
30T308|1|2|2|1|36|119|119|1
30T309|1|2|2|1|29|50|38|3
30T310|2|2|2|0|47|65|65|1
30T311|1|2|2|1|39|119|119|1
30T312|1|2|1|2|25|50|32|3
30T313|1|1|1|0|36|50|50|1
30T314|1|2|1|2|28|44|28|2
30T315|1|1|1|0|23|28|28|1
30T316|1|1|1|0|23|28|28|1
30T317|2|2|2|0|29|79|79|1
30T318|1|2|2|1|32|50|38|3
30T319|1|1|1|0|41|59|59|1
30T320|1|2|1|2|28|50|32|3
30T321|1|1|1|0|22|33|22|2
30T322|1|1|1|0|35|35|35|0
30T323|1|1|1|0|31|41|31|2
30T324|1|1|1|0|15|15|15|0
30T325|1|1|1|0|19|21|21|1
30T326|1|1|1|0|29|29|29|0
30T327|2|2|2|0|19|19|19|0
30T328|1|1|1|0|15|15|15|0
30T329|1|1|1|0|17|17|17|0
30T330|3|3|3|0|24|24|24|0
30T331|2|2|2|0|16|16|16|0
30T332|1|1|1|0|17|17|17|0
30T333|1|1|1|0|17|17|17|0
30T334|1|1|1|0|26|26|26|0
30T335|1|1|1|0|15|15|15|0
30T336|1|1|1|0|15|15|15|0
30T337|1|1|1|0|26|26|26|0
30T338|1|1|1|0|11|11|11|0
30T339|1|1|1|0|15|15|15|0
30T340|1|1|1|0|11|11|11|0
30T341|1|1|1|0|17|17|17|0
30T342|3|3|3|0|24|24|24|0
30T343|1|1|1|0|11|11|11|0
30T344|1|1|1|0|19|19|19|0
30T345|3|3|3|0|26|26|26|0
30T346|1|1|1|0|15|15|15|0
30T347|1|1|1|0|11|11|11|0
30T348|3|3|3|0|22|22|22|0
30T349|3|3|3|0|22|22|22|0
30T350|2|2|2|0|16|16|16|0
30T351|1|1|1|0|26|26|26|0
30T352|1|1|1|0|26|26|26|0
30T353|1|1|1|0|15|15|15|0
30T354|1|1|1|0|19|19|19|0
30T355|1|1|1|0|15|15|15|0
30T356|1|1|1|0|53|53|53|0
30T357|3|3|3|0|26|26|26|0
30T358|1|1|1|0|17|17|17|0
30T359|1|1|1|0|11|14|11|2
30T360|1|1|1|0|41|41|41|0
30T361|2|2|2|0|21|21|21|0
30T362|1|1|1|0|16|17|17|1
30T363|1|1|1|0|13|13|13|0
30T364|2|2|2|0|18|19|\N|\N
30T365|2|2|2|0|31|32|32|1
30T366|1|2|2|1|32|35|35|1
30T367|2|2|2|0|19|19|19|0
30T368|1|1|1|0|12|14|14|1
30T369|1|2|2|1|32|35|35|1
30T370|1|1|1|0|15|15|15|0
30T371|2|2|2|0|35|35|35|0
30T372|1|1|1|0|44|44|44|0
30T373|1|1|1|0|23|26|26|1
30T374|1|1|1|0|39|39|39|0
30T375|1|1|1|0|27|45|45|1
30T376|2|2|2|0|13|13|13|0
30T377|1|1|1|0|25|32|25|2
30T378|1|1|1|0|25|32|32|1
30T379|2|2|2|0|24|32|32|1
30T380|1|1|1|0|27|34|34|1
30T381|1|1|1|0|29|29|29|0
30T382|1|1|1|0|33|69|69|1
30T383|1|1|1|0|29|29|29|0
30T384|1|1|1|0|24|32|32|1
30T385|1|1|1|0|24|32|32|1
30T386|2|2|2|0|24|32|32|1
30T387|1|1|1|0|55|55|55|0
30T388|2|2|2|0|37|37|37|0
30T389|1|2|2|1|28|41|41|1
30T390|2|4|4|1|23|35|35|1
30T391|1|1|1|0|37|37|37|0
30T392|2|4|4|1|28|41|41|1
30T393|2|2|2|0|29|29|29|0
30T394|1|2|2|1|29|53|53|1
30T395|1|1|1|0|20|20|20|0
30T396|1|1|1|0|35|35|35|0
30T397|1|1|1|0|34|34|34|0
30T398|1|1|1|0|34|34|34|0
30T399|1|1|1|0|41|41|41|0
30T400|1|1|1|0|34|34|34|0
30T401|1|1|1|0|10|10|10|0
30T402|1|1|1|0|20|20|20|0
30T403|1|1|1|0|34|34|34|0
30T404|1|1|1|0|39|39|39|0
30T405|1|1|1|0|48|48|48|0
30T406|1|1|1|0|45|45|45|0
30T407|1|1|1|0|19|19|19|0
30T408|2|2|2|0|16|16|16|0
30T409|1|1|1|0|23|39|39|1
30T410|1|1|1|0|33|33|33|0
30T411|1|1|1|0|45|45|45|0
30T412|1|1|1|0|19|19|19|0
30T413|2|2|2|0|13|13|13|0
30T414|2|2|2|0|15|15|15|0
30T415|1|4|4|1|35|99|99|1
30T416|2|2|2|0|15|15|15|0
30T417|1|1|1|0|21|44|44|1
30T418|1|1|1|0|16|16|16|0
30T419|1|1|1|0|16|16|16|0
30T420|1|1|1|0|16|16|16|0
30T421|1|1|1|0|16|16|16|0
30T422|1|1|1|0|21|39|39|1
30T423|1|1|1|0|45|45|45|0
30T424|2|2|2|0|13|13|13|0
30T425|1|1|1|0|16|16|16|0
30T426|1|1|1|0|16|16|16|0
30T427|1|1|1|0|35|45|45|1
30T428|1|1|1|0|8|8|8|0
30T429|1|1|1|0|15|15|15|0
30T430|1|1|1|0|15|15|15|0
30T431|1|1|1|0|13|13|13|0
30T432|1|1|1|0|13|13|13|0
30T433|1|4|4|1|25|64|64|1
30T434|2|2|2|0|19|19|19|0
