label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

33T1|1|1|1|0|3|3|3|0
33T2|1|1|1|0|5|5|5|0
33T3|1|1|1|0|4|5|5|1
33T4|1|1|1|0|5|5|5|0
33T5|1|1|1|0|8|8|8|0
33T6|1|1|1|0|5|11|11|1
33T7|1|1|1|0|8|17|17|1
33T8|1|1|1|0|9|21|21|1
33T9|1|1|1|0|7|21|21|1
33T10|1|1|1|0|5|5|5|0
33T11|1|1|1|0|14|32|32|1
33T12|1|1|1|0|7|9|9|1
33T13|1|1|1|0|6|6|6|0
33T14|1|1|1|0|6|6|6|0
33T15|1|1|1|0|10|10|10|0
33T16|1|5|5|1|7|21|21|1
33T17|1|1|1|0|11|11|11|0
33T18|6|6|6|0|12|12|12|0
33T19|1|1|1|0|11|41|41|1
33T20|1|1|1|0|9|26|26|1
33T21|1|1|1|0|9|26|26|1
33T22|1|1|1|0|17|17|17|0
33T23|1|1|1|0|47|47|47|0
33T24|1|1|1|0|14|23|23|1
33T25|1|1|1|0|16|37|37|1
33T26|1|2|2|1|49|93|93|1
33T27|1|1|1|0|44|48|48|1
33T28|1|2|2|1|33|60|60|1
33T29|6|6|6|0|36|36|36|0
33T30|2|2|2|0|6|8|8|1
33T31|2|2|2|0|19|19|19|0
33T32|1|2|2|1|48|85|85|1
33T33|6|12|12|1|38|71|71|1
33T34|1|5|5|1|49|231|231|1
33T35|1|1|1|0|15|15|15|0
33T36|1|1|1|0|9|14|14|1
33T37|1|1|1|0|29|29|29|0
33T38|2|2|2|0|24|24|24|0
33T39|2|2|2|0|19|23|23|1
33T40|1|1|1|0|5|5|5|0
33T41|1|10|10|1|53|461|461|1
33T42|1|5|5|1|47|236|236|1
33T43|1|10|10|1|36|296|296|1
33T44|2|2|2|0|17|20|20|1
33T45|1|1|1|0|23|23|23|0
33T46|1|1|1|0|35|38|38|1
33T47|2|6|6|1|22|87|87|1
33T48|1|10|10|1|54|417|417|1
33T49|2|4|4|1|20|35|35|1
33T50|1|1|1|0|10|10|10|0
33T51|1|1|1|0|35|137|137|1
33T52|2|6|6|1|29|104|104|1
33T53|2|6|6|1|24|107|107|1
33T54|3|3|3|0|18|18|18|0
33T55|1|1|1|0|8|13|\N|\N
33T56|1|2|2|1|14|17|17|1
33T57|1|2|2|1|13|16|16|1
33T58|1|1|1|0|16|16|16|0
33T59|1|1|1|0|45|174|174|1
33T60|1|1|1|0|27|28|\N|\N
33T61|2|2|2|0|17|17|17|0
33T62|1|2|2|1|23|26|26|1
33T63|2|2|2|0|47|47|47|0
33T64|1|1|1|0|27|27|27|0
33T65|5|5|5|0|2685|2685|2685|0
33T66|1|1|1|0|33|33|33|0
33T67|2|2|2|0|22|22|22|0
33T68|2|2|2|0|21|21|21|0
33T69|2|4|4|1|56|86|\N|\N
33T70|1|1|1|0|41|41|41|0
33T71|1|1|1|0|32|40|40|1
33T72|1|1|1|0|36|36|36|0
33T73|\N|\N|\N|\N|2687|5369|5369|1
33T74|5|5|5|0|1586|2806|2806|1
33T75|\N|\N|\N|\N|1586|2806|2806|1
33T76|1|1|1|0|40|40|40|0
33T77|2|2|2|0|18|18|18|0
33T78|1|1|1|0|8055|8055|8055|0
33T79|1|1|1|0|63|63|63|0
33T80|1|1|1|0|57|66|66|1
33T81|\N|\N|\N|\N|\N|\N|\N|\N
33T82|1|1|1|0|\N|\N|\N|\N
33T83|1|1|1|0|\N|\N|\N|\N
33T84|\N|\N|\N|\N|\N|\N|\N|\N
33T85|\N|\N|\N|\N|\N|\N|\N|\N
33T86|1|1|1|0|\N|\N|\N|\N
33T87|1|1|1|0|\N|\N|\N|\N
33T88|1|1|1|0|\N|\N|\N|\N
33T89|1|1|1|0|\N|\N|\N|\N
33T90|1|1|1|0|\N|\N|\N|\N
33T91|\N|\N|\N|\N|\N|\N|\N|\N
33T92|\N|\N|\N|\N|\N|\N|\N|\N
33T93|1|1|1|0|\N|\N|\N|\N
33T94|\N|\N|\N|\N|\N|\N|\N|\N
33T95|1|1|1|0|\N|\N|\N|\N
33T96|1|1|1|0|\N|\N|\N|\N
33T97|1|2|2|1|\N|\N|\N|\N
33T98|\N|\N|\N|\N|\N|\N|\N|\N
33T99|\N|\N|\N|\N|\N|\N|\N|\N
33T100|1|1|1|0|\N|\N|\N|\N
33T101|\N|\N|\N|\N|901|1718|1718|1
33T102|\N|\N|\N|\N|986|1880|1880|1
33T103|1|1|1|0|208|208|208|0
33T104|2|2|2|0|57|57|57|0
33T105|1|1|1|0|225|388|\N|\N
33T106|1|1|1|0|606|606|606|0
33T107|2|2|2|0|86|86|86|0
33T108|1|1|1|0|111|111|111|0
33T109|2|2|2|0|84|86|\N|\N
33T110|\N|\N|\N|\N|614|1166|\N|\N
33T111|1|1|1|0|167|167|167|0
33T112|1|1|1|0|108|108|108|0
33T113|1|1|1|0|93|93|93|0
33T114|1|1|1|0|\N|\N|\N|\N
33T115|1|1|1|0|\N|\N|\N|\N
33T116|1|1|1|0|\N|\N|\N|\N
33T117|1|1|1|0|\N|\N|\N|\N
33T118|6|6|6|0|\N|\N|\N|\N
33T119|\N|\N|\N|\N|\N|\N|\N|\N
33T120|1|1|1|0|\N|\N|\N|\N
33T121|1|1|1|0|\N|\N|\N|\N
33T122|6|6|6|0|\N|\N|\N|\N
33T123|6|6|6|0|\N|\N|\N|\N
33T124|1|1|1|0|\N|\N|\N|\N
33T125|2|2|2|0|\N|\N|\N|\N
33T126|1|1|1|0|\N|\N|\N|\N
33T127|2|2|2|0|\N|\N|\N|\N
33T128|2|2|2|0|\N|\N|\N|\N
33T129|1|1|1|0|\N|\N|\N|\N
33T130|2|2|2|0|\N|\N|\N|\N
33T131|1|1|1|0|\N|\N|\N|\N
33T132|1|1|1|0|\N|\N|\N|\N
33T133|2|2|2|0|\N|\N|\N|\N
33T134|1|1|1|0|\N|\N|\N|\N
33T135|1|1|1|0|\N|\N|\N|\N
33T136|1|1|1|0|\N|\N|\N|\N
33T137|1|1|1|0|\N|\N|\N|\N
33T138|1|1|1|0|\N|\N|\N|\N
33T139|1|1|1|0|\N|\N|\N|\N
33T140|1|1|1|0|\N|\N|\N|\N
33T141|1|1|1|0|\N|\N|\N|\N
33T142|\N|\N|\N|\N|\N|\N|\N|\N
33T143|1|1|1|0|\N|\N|\N|\N
33T144|\N|\N|\N|\N|\N|\N|\N|\N
33T145|\N|\N|\N|\N|\N|\N|\N|\N
33T146|2|2|2|0|\N|\N|\N|\N
33T147|1|1|1|0|\N|\N|\N|\N
33T148|2|2|2|0|\N|\N|\N|\N
33T149|2|2|2|0|\N|\N|\N|\N
33T150|1|1|1|0|\N|\N|\N|\N
33T151|2|2|2|0|\N|\N|\N|\N
33T152|2|2|2|0|\N|\N|\N|\N
33T153|2|2|2|0|\N|\N|\N|\N
33T154|2|2|2|0|\N|\N|\N|\N
33T155|3|3|3|0|\N|\N|\N|\N
33T156|2|2|2|0|\N|\N|\N|\N
33T157|1|1|1|0|\N|\N|\N|\N
33T158|3|3|3|0|\N|\N|\N|\N
33T159|3|3|3|0|\N|\N|\N|\N
33T160|1|1|1|0|\N|\N|\N|\N
33T161|2|2|2|0|5084|5084|5084|0
33T162|1|1|1|0|10142|10142|10142|0
