label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

14T1|\N|\N|\N|\N|3|3|3|0
14T2|\N|\N|\N|\N|2|2|2|0
14T3|\N|\N|\N|\N|5|5|5|0
14T4|\N|\N|\N|\N|4|6|6|1
14T5|\N|\N|\N|\N|5|7|7|1
14T6|\N|\N|\N|\N|2|2|2|0
14T7|\N|\N|\N|\N|9|13|13|1
14T8|\N|\N|\N|\N|7|9|9|1
14T9|\N|\N|\N|\N|5|5|5|0
14T10|\N|\N|\N|\N|4|4|4|0
14T11|\N|\N|\N|\N|4|4|4|0
14T12|\N|\N|\N|\N|6|6|6|0
14T13|\N|\N|\N|\N|10|12|12|1
14T14|\N|\N|\N|\N|9|27|27|1
14T15|\N|\N|\N|\N|6|6|6|0
14T16|\N|\N|\N|\N|7|7|7|0
14T17|\N|\N|\N|\N|9|9|9|0
14T18|\N|\N|\N|\N|9|9|9|0
14T19|\N|\N|\N|\N|9|9|9|0
14T20|\N|\N|\N|\N|9|9|9|0
14T21|\N|\N|\N|\N|10|10|10|0
14T22|\N|\N|\N|\N|6|7|6|2
14T23|\N|\N|\N|\N|9|14|14|1
14T24|\N|\N|\N|\N|14|34|34|1
14T25|\N|\N|\N|\N|10|10|10|0
14T26|\N|\N|\N|\N|10|12|12|1
14T27|\N|\N|\N|\N|17|17|17|0
14T28|\N|\N|\N|\N|17|17|17|0
14T29|\N|\N|\N|\N|21|21|21|0
14T30|\N|\N|\N|\N|5|5|5|0
14T31|\N|\N|\N|\N|11|11|11|0
14T32|\N|\N|\N|\N|14|19|19|1
14T33|\N|\N|\N|\N|9|9|9|0
14T34|\N|\N|\N|\N|9|9|9|0
14T35|\N|\N|\N|\N|10|10|10|0
14T36|\N|\N|\N|\N|12|15|12|2
14T37|\N|\N|\N|\N|17|19|19|1
14T38|\N|\N|\N|\N|35|35|35|0
14T39|\N|\N|\N|\N|9|9|9|0
14T40|\N|\N|\N|\N|14|14|14|0
14T41|\N|\N|\N|\N|14|14|14|0
14T42|\N|\N|\N|\N|19|19|19|0
14T43|\N|\N|\N|\N|19|19|19|0
14T44|\N|\N|\N|\N|21|21|21|0
14T45|\N|\N|\N|\N|22|27|27|1
14T46|\N|\N|\N|\N|14|14|14|0
14T47|\N|\N|\N|\N|15|15|15|0
14T48|\N|\N|\N|\N|29|29|29|0
14T49|\N|\N|\N|\N|29|29|29|0
14T50|\N|\N|\N|\N|22|22|22|0
14T51|\N|\N|\N|\N|45|45|45|0
14T52|\N|\N|\N|\N|20|20|20|0
14T53|\N|\N|\N|\N|29|29|29|0
14T54|\N|\N|\N|\N|54|54|54|0
14T55|\N|\N|\N|\N|54|54|54|0
14T56|\N|\N|\N|\N|59|59|59|0
14T57|\N|\N|\N|\N|109|109|109|0
14T58|\N|\N|\N|\N|44|44|44|0
14T59|\N|\N|\N|\N|70|70|70|0
14T60|\N|\N|\N|\N|80|80|80|0
14T61|\N|\N|\N|\N|134|134|134|0
14T62|\N|\N|\N|\N|68|68|68|0
14T63|\N|\N|\N|\N|134|134|134|0
