label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

12T1|\N|\N|\N|\N|5|5|5|0
12T2|\N|\N|\N|\N|7|7|7|0
12T3|\N|\N|\N|\N|5|5|5|0
12T4|\N|\N|\N|\N|2|2|2|0
12T5|\N|\N|\N|\N|4|5|4|2
12T6|\N|\N|\N|\N|5|5|5|0
12T7|\N|\N|\N|\N|5|5|5|0
12T8|\N|\N|\N|\N|4|4|4|0
12T9|\N|\N|\N|\N|4|4|4|0
12T10|\N|\N|\N|\N|11|11|11|0
12T11|\N|\N|\N|\N|8|8|8|0
12T12|\N|\N|\N|\N|7|8|8|1
12T13|\N|\N|\N|\N|7|8|8|1
12T14|\N|\N|\N|\N|9|9|9|0
12T15|\N|\N|\N|\N|7|8|8|1
12T16|\N|\N|\N|\N|8|8|8|0
12T17|\N|\N|\N|\N|4|4|4|0
12T18|\N|\N|\N|\N|11|11|11|0
12T19|\N|\N|\N|\N|9|11|9|2
12T20|\N|\N|\N|\N|6|6|6|0
12T21|\N|\N|\N|\N|9|9|9|0
12T22|\N|\N|\N|\N|9|9|9|0
12T23|\N|\N|\N|\N|9|9|9|0
12T24|\N|\N|\N|\N|9|9|9|0
12T25|\N|\N|\N|\N|11|11|11|0
12T26|\N|\N|\N|\N|11|11|11|0
12T27|\N|\N|\N|\N|7|7|7|0
12T28|\N|\N|\N|\N|14|14|14|0
12T29|\N|\N|\N|\N|8|8|8|0
12T30|\N|\N|\N|\N|7|7|7|0
12T31|\N|\N|\N|\N|4|4|4|0
12T32|\N|\N|\N|\N|6|6|6|0
12T33|\N|\N|\N|\N|3|3|3|0
12T34|\N|\N|\N|\N|8|8|8|0
12T35|\N|\N|\N|\N|8|8|8|0
12T36|\N|\N|\N|\N|8|8|8|0
12T37|\N|\N|\N|\N|17|17|17|0
12T38|\N|\N|\N|\N|12|14|14|1
12T39|\N|\N|\N|\N|13|14|14|1
12T40|\N|\N|\N|\N|9|9|9|0
12T41|\N|\N|\N|\N|9|9|9|0
12T42|\N|\N|\N|\N|16|20|20|1
12T43|\N|\N|\N|\N|8|8|8|0
12T44|\N|\N|\N|\N|8|11|11|1
12T45|\N|\N|\N|\N|9|9|9|0
12T46|\N|\N|\N|\N|4|4|4|0
12T47|\N|\N|\N|\N|5|5|5|0
12T48|\N|\N|\N|\N|19|19|19|0
12T49|\N|\N|\N|\N|12|12|12|0
12T50|\N|\N|\N|\N|12|12|12|0
12T51|\N|\N|\N|\N|14|14|14|0
12T52|\N|\N|\N|\N|12|12|12|0
12T53|\N|\N|\N|\N|14|14|14|0
12T54|\N|\N|\N|\N|12|12|12|0
12T55|\N|\N|\N|\N|9|9|9|0
12T56|\N|\N|\N|\N|13|13|13|0
12T57|\N|\N|\N|\N|7|7|7|0
12T58|\N|\N|\N|\N|7|7|7|0
12T59|\N|\N|\N|\N|7|7|7|0
12T60|\N|\N|\N|\N|7|7|7|0
12T61|\N|\N|\N|\N|7|7|7|0
12T62|\N|\N|\N|\N|7|7|7|0
12T63|\N|\N|\N|\N|7|7|7|0
12T64|\N|\N|\N|\N|7|7|7|0
12T65|\N|\N|\N|\N|7|7|7|0
12T66|\N|\N|\N|\N|9|9|9|0
12T67|\N|\N|\N|\N|9|9|9|0
12T68|\N|\N|\N|\N|9|9|9|0
12T69|\N|\N|\N|\N|9|9|9|0
12T70|\N|\N|\N|\N|17|17|17|0
12T71|\N|\N|\N|\N|13|14|14|1
12T72|\N|\N|\N|\N|8|11|8|2
12T73|\N|\N|\N|\N|9|9|9|0
12T74|\N|\N|\N|\N|6|6|6|0
12T75|\N|\N|\N|\N|7|7|7|0
12T76|\N|\N|\N|\N|7|7|7|0
12T77|\N|\N|\N|\N|17|17|17|0
12T78|\N|\N|\N|\N|17|17|17|0
12T79|\N|\N|\N|\N|14|14|14|0
12T80|\N|\N|\N|\N|14|14|14|0
12T81|\N|\N|\N|\N|23|26|26|1
12T82|\N|\N|\N|\N|15|15|15|0
12T83|\N|\N|\N|\N|14|14|14|0
12T84|\N|\N|\N|\N|7|7|7|0
12T85|\N|\N|\N|\N|9|9|9|0
12T86|\N|\N|\N|\N|24|24|24|0
12T87|\N|\N|\N|\N|15|15|15|0
12T88|\N|\N|\N|\N|15|15|15|0
12T89|\N|\N|\N|\N|15|15|15|0
12T90|\N|\N|\N|\N|27|27|27|0
12T91|\N|\N|\N|\N|12|12|12|0
12T92|\N|\N|\N|\N|15|15|15|0
12T93|\N|\N|\N|\N|12|12|12|0
12T94|\N|\N|\N|\N|16|16|16|0
12T95|\N|\N|\N|\N|15|15|15|0
12T96|\N|\N|\N|\N|15|15|15|0
12T97|\N|\N|\N|\N|15|15|15|0
12T98|\N|\N|\N|\N|13|13|13|0
12T99|\N|\N|\N|\N|12|12|12|0
12T100|\N|\N|\N|\N|19|19|19|0
12T101|\N|\N|\N|\N|19|19|19|0
12T102|\N|\N|\N|\N|15|15|15|0
12T103|\N|\N|\N|\N|19|19|19|0
12T104|\N|\N|\N|\N|11|11|11|0
12T105|\N|\N|\N|\N|12|12|12|0
12T106|\N|\N|\N|\N|19|19|19|0
12T107|\N|\N|\N|\N|15|15|15|0
12T108|\N|\N|\N|\N|13|13|13|0
12T109|\N|\N|\N|\N|13|13|13|0
12T110|\N|\N|\N|\N|13|13|13|0
12T111|\N|\N|\N|\N|13|13|13|0
12T112|\N|\N|\N|\N|13|13|13|0
12T113|\N|\N|\N|\N|13|13|13|0
12T114|\N|\N|\N|\N|13|13|13|0
12T115|\N|\N|\N|\N|13|13|13|0
12T116|\N|\N|\N|\N|14|17|17|1
12T117|\N|\N|\N|\N|26|26|26|0
12T118|\N|\N|\N|\N|13|14|14|1
12T119|\N|\N|\N|\N|14|14|14|0
12T120|\N|\N|\N|\N|14|17|17|1
12T121|\N|\N|\N|\N|17|17|17|0
12T122|\N|\N|\N|\N|6|6|6|0
12T123|\N|\N|\N|\N|13|13|13|0
12T124|\N|\N|\N|\N|10|10|10|0
12T125|\N|\N|\N|\N|26|26|26|0
12T126|\N|\N|\N|\N|9|9|9|0
12T127|\N|\N|\N|\N|13|15|15|1
12T128|\N|\N|\N|\N|9|9|9|0
12T129|\N|\N|\N|\N|9|9|9|0
12T130|\N|\N|\N|\N|28|32|32|1
12T131|\N|\N|\N|\N|19|29|19|2
12T132|\N|\N|\N|\N|8|8|8|0
12T133|\N|\N|\N|\N|8|8|8|0
12T134|\N|\N|\N|\N|22|22|22|0
12T135|\N|\N|\N|\N|26|26|26|0
12T136|\N|\N|\N|\N|27|27|27|0
12T137|\N|\N|\N|\N|27|27|27|0
12T138|\N|\N|\N|\N|27|27|27|0
12T139|\N|\N|\N|\N|39|39|39|0
12T140|\N|\N|\N|\N|27|27|27|0
12T141|\N|\N|\N|\N|22|27|27|1
12T142|\N|\N|\N|\N|22|22|22|0
12T143|\N|\N|\N|\N|18|18|18|0
12T144|\N|\N|\N|\N|13|13|13|0
12T145|\N|\N|\N|\N|19|19|19|0
12T146|\N|\N|\N|\N|19|19|19|0
12T147|\N|\N|\N|\N|19|19|19|0
12T148|\N|\N|\N|\N|26|26|26|0
12T149|\N|\N|\N|\N|19|19|19|0
12T150|\N|\N|\N|\N|25|25|25|0
12T151|\N|\N|\N|\N|21|23|23|1
12T152|\N|\N|\N|\N|20|20|20|0
12T153|\N|\N|\N|\N|21|21|21|0
12T154|\N|\N|\N|\N|20|20|20|0
12T155|\N|\N|\N|\N|21|21|21|0
12T156|\N|\N|\N|\N|26|26|26|0
12T157|\N|\N|\N|\N|9|9|9|0
12T158|\N|\N|\N|\N|19|19|19|0
12T159|\N|\N|\N|\N|16|19|16|2
12T160|\N|\N|\N|\N|10|10|10|0
12T161|\N|\N|\N|\N|15|15|15|0
12T162|\N|\N|\N|\N|10|10|10|0
12T163|\N|\N|\N|\N|15|15|15|0
12T164|\N|\N|\N|\N|16|16|16|0
12T165|\N|\N|\N|\N|15|15|15|0
12T166|\N|\N|\N|\N|9|9|9|0
12T167|\N|\N|\N|\N|32|44|44|1
12T168|\N|\N|\N|\N|41|44|44|1
12T169|\N|\N|\N|\N|24|32|32|1
12T170|\N|\N|\N|\N|25|32|32|1
12T171|\N|\N|\N|\N|21|21|21|0
12T172|\N|\N|\N|\N|26|26|26|0
12T173|\N|\N|\N|\N|13|13|13|0
12T174|\N|\N|\N|\N|14|14|14|0
12T175|\N|\N|\N|\N|12|12|12|0
12T176|\N|\N|\N|\N|13|13|13|0
12T177|\N|\N|\N|\N|12|12|12|0
12T178|\N|\N|\N|\N|12|12|12|0
12T179|\N|\N|\N|\N|5|5|5|0
12T180|\N|\N|\N|\N|11|11|11|0
12T181|\N|\N|\N|\N|6|6|6|0
12T182|\N|\N|\N|\N|7|7|7|0
12T183|\N|\N|\N|\N|10|10|10|0
12T184|\N|\N|\N|\N|21|21|21|0
12T185|\N|\N|\N|\N|37|39|39|1
12T186|\N|\N|\N|\N|37|37|37|0
12T187|\N|\N|\N|\N|27|27|27|0
12T188|\N|\N|\N|\N|27|27|27|0
12T189|\N|\N|\N|\N|25|25|25|0
12T190|\N|\N|\N|\N|21|21|21|0
12T191|\N|\N|\N|\N|21|21|21|0
12T192|\N|\N|\N|\N|18|18|18|0
12T193|\N|\N|\N|\N|37|37|37|0
12T194|\N|\N|\N|\N|21|21|21|0
12T195|\N|\N|\N|\N|31|31|31|0
12T196|\N|\N|\N|\N|23|23|23|0
12T197|\N|\N|\N|\N|25|25|25|0
12T198|\N|\N|\N|\N|21|21|21|0
12T199|\N|\N|\N|\N|21|21|21|0
12T200|\N|\N|\N|\N|19|19|19|0
12T201|\N|\N|\N|\N|19|19|19|0
12T202|\N|\N|\N|\N|19|19|19|0
12T203|\N|\N|\N|\N|19|19|19|0
12T204|\N|\N|\N|\N|23|23|23|0
12T205|\N|\N|\N|\N|17|17|17|0
12T206|\N|\N|\N|\N|19|19|19|0
12T207|\N|\N|\N|\N|17|17|17|0
12T208|\N|\N|\N|\N|29|35|35|1
12T209|\N|\N|\N|\N|32|32|32|0
12T210|\N|\N|\N|\N|35|35|35|0
12T211|\N|\N|\N|\N|28|28|28|0
12T212|\N|\N|\N|\N|16|16|16|0
12T213|\N|\N|\N|\N|21|21|21|0
12T214|\N|\N|\N|\N|22|22|22|0
12T215|\N|\N|\N|\N|14|14|14|0
12T216|\N|\N|\N|\N|22|22|22|0
12T217|\N|\N|\N|\N|44|53|53|1
12T218|\N|\N|\N|\N|9|9|9|0
12T219|\N|\N|\N|\N|21|21|21|0
12T220|\N|\N|\N|\N|12|12|12|0
12T221|\N|\N|\N|\N|34|34|34|0
12T222|\N|\N|\N|\N|49|49|49|0
12T223|\N|\N|\N|\N|33|33|33|0
12T224|\N|\N|\N|\N|33|33|33|0
12T225|\N|\N|\N|\N|35|35|35|0
12T226|\N|\N|\N|\N|39|39|39|0
12T227|\N|\N|\N|\N|39|39|39|0
12T228|\N|\N|\N|\N|9|9|9|0
12T229|\N|\N|\N|\N|14|14|14|0
12T230|\N|\N|\N|\N|13|13|13|0
12T231|\N|\N|\N|\N|29|29|29|0
12T232|\N|\N|\N|\N|14|14|14|0
12T233|\N|\N|\N|\N|25|38|38|1
12T234|\N|\N|\N|\N|23|29|29|1
12T235|\N|\N|\N|\N|39|39|39|0
12T236|\N|\N|\N|\N|39|39|39|0
12T237|\N|\N|\N|\N|34|34|34|0
12T238|\N|\N|\N|\N|34|34|34|0
12T239|\N|\N|\N|\N|29|29|29|0
12T240|\N|\N|\N|\N|45|45|45|0
12T241|\N|\N|\N|\N|35|35|35|0
12T242|\N|\N|\N|\N|41|41|41|0
12T243|\N|\N|\N|\N|26|26|26|0
12T244|\N|\N|\N|\N|21|21|21|0
12T245|\N|\N|\N|\N|25|25|25|0
12T246|\N|\N|\N|\N|25|25|25|0
12T247|\N|\N|\N|\N|25|25|25|0
12T248|\N|\N|\N|\N|53|53|53|0
12T249|\N|\N|\N|\N|20|20|20|0
12T250|\N|\N|\N|\N|64|64|64|0
12T251|\N|\N|\N|\N|17|17|17|0
12T252|\N|\N|\N|\N|21|22|22|1
12T253|\N|\N|\N|\N|17|17|17|0
12T254|\N|\N|\N|\N|14|14|14|0
12T255|\N|\N|\N|\N|27|27|27|0
12T256|\N|\N|\N|\N|18|18|18|0
12T257|\N|\N|\N|\N|21|21|21|0
12T258|\N|\N|\N|\N|38|50|50|1
12T259|\N|\N|\N|\N|18|18|18|0
12T260|\N|\N|\N|\N|64|64|64|0
12T261|\N|\N|\N|\N|44|44|44|0
12T262|\N|\N|\N|\N|32|32|32|0
12T263|\N|\N|\N|\N|28|28|28|0
12T264|\N|\N|\N|\N|32|32|32|0
12T265|\N|\N|\N|\N|17|17|17|0
12T266|\N|\N|\N|\N|35|35|35|0
12T267|\N|\N|\N|\N|44|44|44|0
12T268|\N|\N|\N|\N|29|29|29|0
12T269|\N|\N|\N|\N|14|14|14|0
12T270|\N|\N|\N|\N|34|34|34|0
12T271|\N|\N|\N|\N|23|23|23|0
12T272|\N|\N|\N|\N|7|7|7|0
12T273|\N|\N|\N|\N|22|27|27|1
12T274|\N|\N|\N|\N|53|53|53|0
12T275|\N|\N|\N|\N|25|25|25|0
12T276|\N|\N|\N|\N|22|27|27|1
12T277|\N|\N|\N|\N|19|19|19|0
12T278|\N|\N|\N|\N|18|18|18|0
12T279|\N|\N|\N|\N|24|24|24|0
12T280|\N|\N|\N|\N|29|29|29|0
12T281|\N|\N|\N|\N|38|38|38|0
12T282|\N|\N|\N|\N|28|28|28|0
12T283|\N|\N|\N|\N|37|39|39|1
12T284|\N|\N|\N|\N|26|26|26|0
12T285|\N|\N|\N|\N|36|36|36|0
12T286|\N|\N|\N|\N|35|35|35|0
12T287|\N|\N|\N|\N|33|33|33|0
12T288|\N|\N|\N|\N|34|34|34|0
12T289|\N|\N|\N|\N|50|50|50|0
12T290|\N|\N|\N|\N|34|34|34|0
12T291|\N|\N|\N|\N|34|34|34|0
12T292|\N|\N|\N|\N|49|49|49|0
12T293|\N|\N|\N|\N|64|64|64|0
12T294|\N|\N|\N|\N|64|64|64|0
12T295|\N|\N|\N|\N|13|13|13|0
12T296|\N|\N|\N|\N|27|27|27|0
12T297|\N|\N|\N|\N|48|48|48|0
12T298|\N|\N|\N|\N|40|40|40|0
12T299|\N|\N|\N|\N|76|76|76|0
12T300|\N|\N|\N|\N|39|39|39|0
12T301|\N|\N|\N|\N|76|76|76|0
